Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
13/02/2024 2:34:32 PM (UTC+1030), 6052599.21, 329982.2, 1.94, 0.11
13/02/2024 2:34:33 PM (UTC+1030), 6052600.2, 329982.82, 1.99, 0.11
13/02/2024 2:34:34 PM (UTC+1030), 6052601.18, 329983.39, 2.12, 0.10
13/02/2024 2:34:35 PM (UTC+1030), 6052602.21, 329984.08, 2.12, 0.10
13/02/2024 2:34:36 PM (UTC+1030), 6052603.24, 329984.66, 2.22, 0.10
13/02/2024 2:34:37 PM (UTC+1030), 6052604.25, 329985.23, 2.16, 0.11
13/02/2024 2:34:38 PM (UTC+1030), 6052605.21, 329985.79, 2.2, 0.11
13/02/2024 2:34:39 PM (UTC+1030), 6052606.26, 329986.39, 2.08, 0.10
13/02/2024 2:34:40 PM (UTC+1030), 6052607.33, 329986.97, 2.04, 0.10
13/02/2024 2:34:41 PM (UTC+1030), 6052608.39, 329987.51, 1.85, 0.11
13/02/2024 2:34:42 PM (UTC+1030), 6052609.38, 329987.98, 1.62, 0.11
13/02/2024 2:34:43 PM (UTC+1030), 6052610.42, 329988.39, 1.56, 0.11
13/02/2024 2:34:44 PM (UTC+1030), 6052611.38, 329988.99, 1.45, 0.11
13/02/2024 2:34:45 PM (UTC+1030), 6052612.41, 329989.5, 1.38, 0.10
13/02/2024 2:34:46 PM (UTC+1030), 6052613.45, 329989.89, 1.28, 0.11
13/02/2024 2:34:47 PM (UTC+1030), 6052614.42, 329990.26, 1.23, 0.11
13/02/2024 2:34:48 PM (UTC+1030), 6052615.32, 329990.79, 1.14, 0.11
13/02/2024 2:34:49 PM (UTC+1030), 6052616.26, 329991.33, 0.99, 0.11
13/02/2024 2:34:50 PM (UTC+1030), 6052617.18, 329991.75, 0.98, 0.11
13/02/2024 2:34:51 PM (UTC+1030), 6052618.19, 329992.4, 0.8, 0.11
13/02/2024 2:34:52 PM (UTC+1030), 6052619.22, 329993.14, 0.7, 0.11
13/02/2024 2:34:53 PM (UTC+1030), 6052620.28, 329993.75, 0.73, 0.11
13/02/2024 2:34:54 PM (UTC+1030), 6052621.16, 329994.29, 0.85, 0.11
13/02/2024 2:34:55 PM (UTC+1030), 6052622.14, 329994.81, 0.78, 0.11
13/02/2024 2:34:56 PM (UTC+1030), 6052623.14, 329995.4, 0.77, 0.11
13/02/2024 2:34:57 PM (UTC+1030), 6052624.22, 329995.84, 0.8, 0.11
13/02/2024 2:34:58 PM (UTC+1030), 6052625.26, 329996.08, 0.95, 0.11
13/02/2024 2:34:59 PM (UTC+1030), 6052626.17, 329996.35, 1.04, 0.11
13/02/2024 2:35:00 PM (UTC+1030), 6052627.07, 329996.8, 1.03, 0.11
13/02/2024 2:35:01 PM (UTC+1030), 6052627.98, 329997.27, 1.17, 0.11
13/02/2024 2:35:02 PM (UTC+1030), 6052628.94, 329997.67, 1.22, 0.11
13/02/2024 2:35:03 PM (UTC+1030), 6052629.77, 329998.21, 1.31, 0.11
13/02/2024 2:35:04 PM (UTC+1030), 6052630.66, 329998.61, 1.4, 0.11
13/02/2024 2:35:05 PM (UTC+1030), 6052631.54, 329999.08, 1.43, 0.11
13/02/2024 2:35:06 PM (UTC+1030), 6052632.48, 329999.57, 1.41, 0.11
13/02/2024 2:35:07 PM (UTC+1030), 6052633.48, 330000.06, 1.34, 0.11
13/02/2024 2:35:08 PM (UTC+1030), 6052634.53, 330000.46, 1.34, 0.11
13/02/2024 2:35:09 PM (UTC+1030), 6052635.68, 330000.98, 1.26, 0.11
13/02/2024 2:35:10 PM (UTC+1030), 6052636.85, 330001.5, 1.18, 0.11
13/02/2024 2:35:11 PM (UTC+1030), 6052637.91, 330001.98, 1.24, 0.11
13/02/2024 2:35:12 PM (UTC+1030), 6052638.98, 330002.54, 1.21, 0.11
13/02/2024 2:35:13 PM (UTC+1030), 6052640.09, 330003.1, 1.25, 0.11
13/02/2024 2:35:14 PM (UTC+1030), 6052641.2, 330003.62, 1.24, 0.11
13/02/2024 2:35:15 PM (UTC+1030), 6052642.31, 330004.1, 1.15, 0.11
13/02/2024 2:35:16 PM (UTC+1030), 6052643.39, 330004.6, 1.21, 0.11
13/02/2024 2:35:17 PM (UTC+1030), 6052644.44, 330004.99, 1.16, 0.11
13/02/2024 2:35:18 PM (UTC+1030), 6052645.47, 330005.43, 1.15, 0.11
13/02/2024 2:35:19 PM (UTC+1030), 6052646.51, 330005.97, 1.12, 0.11
13/02/2024 2:35:20 PM (UTC+1030), 6052647.56, 330006.52, 1.13, 0.11
13/02/2024 2:35:21 PM (UTC+1030), 6052648.45, 330006.99, 1.11, 0.11
13/02/2024 2:35:22 PM (UTC+1030), 6052649.33, 330007.7, 1.08, 0.11
13/02/2024 2:35:23 PM (UTC+1030), 6052650.23, 330008.43, 1.17, 0.11
13/02/2024 2:35:24 PM (UTC+1030), 6052651.25, 330008.89, 1.15, 0.11
13/02/2024 2:35:25 PM (UTC+1030), 6052652.37, 330009.23, 1.23, 0.11
13/02/2024 2:35:26 PM (UTC+1030), 6052653.48, 330009.7, 1.24, 0.11
13/02/2024 2:35:27 PM (UTC+1030), 6052654.54, 330010.02, 1.34, 0.11
13/02/2024 2:35:28 PM (UTC+1030), 6052655.49, 330010.57, 1.37, 0.11
13/02/2024 2:35:29 PM (UTC+1030), 6052656.48, 330011.23, 1.32, 0.11
13/02/2024 2:35:30 PM (UTC+1030), 6052657.55, 330011.75, 1.33, 0.11
13/02/2024 2:35:31 PM (UTC+1030), 6052658.59, 330012.19, 1.27, 0.11
13/02/2024 2:35:32 PM (UTC+1030), 6052659.57, 330012.66, 1.31, 0.11
13/02/2024 2:35:33 PM (UTC+1030), 6052660.55, 330013.23, 1.26, 0.11
13/02/2024 2:35:34 PM (UTC+1030), 6052661.56, 330013.72, 1.26, 0.11
13/02/2024 2:35:35 PM (UTC+1030), 6052662.56, 330014.18, 1.34, 0.11
13/02/2024 2:35:36 PM (UTC+1030), 6052663.61, 330014.71, 1.33, 0.11
13/02/2024 2:35:37 PM (UTC+1030), 6052664.73, 330015.18, 1.39, 0.11
13/02/2024 2:35:38 PM (UTC+1030), 6052665.84, 330015.6, 1.43, 0.11
13/02/2024 2:35:39 PM (UTC+1030), 6052666.96, 330016.02, 1.46, 0.11
13/02/2024 2:35:40 PM (UTC+1030), 6052667.94, 330016.54, 1.49, 0.11
13/02/2024 2:35:41 PM (UTC+1030), 6052669.04, 330016.9, 1.41, 0.11
13/02/2024 2:35:42 PM (UTC+1030), 6052670.15, 330017.33, 1.52, 0.11
13/02/2024 2:35:43 PM (UTC+1030), 6052671.21, 330017.99, 1.46, 0.11
13/02/2024 2:35:44 PM (UTC+1030), 6052672.24, 330018.65, 1.54, 0.11
13/02/2024 2:35:45 PM (UTC+1030), 6052673.37, 330019.21, 1.56, 0.11
13/02/2024 2:35:46 PM (UTC+1030), 6052674.55, 330019.66, 1.64, 0.11
13/02/2024 2:35:47 PM (UTC+1030), 6052675.69, 330020.07, 1.71, 0.11
13/02/2024 2:35:48 PM (UTC+1030), 6052676.79, 330020.58, 1.69, 0.11
13/02/2024 2:35:49 PM (UTC+1030), 6052677.89, 330021.13, 1.84, 0.11
13/02/2024 2:35:50 PM (UTC+1030), 6052679.05, 330021.68, 1.8, 0.11
13/02/2024 2:35:51 PM (UTC+1030), 6052680.15, 330022.14, 1.82, 0.11
13/02/2024 2:35:52 PM (UTC+1030), 6052681.26, 330022.59, 1.86, 0.11
13/02/2024 2:35:53 PM (UTC+1030), 6052682.35, 330023.15, 1.74, 0.11
13/02/2024 2:35:54 PM (UTC+1030), 6052683.48, 330023.77, 1.74, 0.11
13/02/2024 2:35:55 PM (UTC+1030), 6052684.61, 330024.35, 1.72, 0.11
13/02/2024 2:35:56 PM (UTC+1030), 6052685.79, 330024.89, 1.72, 0.11
13/02/2024 2:35:57 PM (UTC+1030), 6052686.96, 330025.38, 1.77, 0.11
13/02/2024 2:35:58 PM (UTC+1030), 6052688.14, 330025.83, 1.78, 0.12
13/02/2024 2:35:59 PM (UTC+1030), 6052689.34, 330026.32, 1.82, 0.12
13/02/2024 2:36:00 PM (UTC+1030), 6052690.58, 330026.69, 1.88, 0.12
13/02/2024 2:36:01 PM (UTC+1030), 6052691.77, 330027.2, 1.86, 0.12
13/02/2024 2:36:02 PM (UTC+1030), 6052692.9, 330027.66, 1.97, 0.12
13/02/2024 2:36:03 PM (UTC+1030), 6052693.98, 330028.14, 1.98, 0.12
13/02/2024 2:36:04 PM (UTC+1030), 6052695.15, 330028.68, 1.93, 0.12
13/02/2024 2:36:05 PM (UTC+1030), 6052696.31, 330029.12, 1.99, 0.12
13/02/2024 2:36:06 PM (UTC+1030), 6052697.45, 330029.59, 2.02, 0.12
13/02/2024 2:36:07 PM (UTC+1030), 6052698.51, 330030.02, 2.24, 0.12
13/02/2024 2:36:08 PM (UTC+1030), 6052699.58, 330030.52, 2.41, 0.12
13/02/2024 2:36:09 PM (UTC+1030), 6052700.64, 330030.96, 2.62, 0.12
13/02/2024 2:36:10 PM (UTC+1030), 6052701.64, 330031.4, 2.83, 0.12
13/02/2024 2:36:11 PM (UTC+1030), 6052702.69, 330031.83, 2.86, 0.12
13/02/2024 2:36:12 PM (UTC+1030), 6052703.74, 330032.3, 3.02, 0.12
13/02/2024 2:36:13 PM (UTC+1030), 6052704.77, 330032.77, 3.09, 0.12
13/02/2024 2:36:14 PM (UTC+1030), 6052705.78, 330033.16, 3.27, 0.12
13/02/2024 2:36:15 PM (UTC+1030), 6052706.77, 330033.63, 3.33, 0.12
13/02/2024 2:36:16 PM (UTC+1030), 6052707.72, 330034.04, 3.54, 0.12
13/02/2024 2:36:17 PM (UTC+1030), 6052708.68, 330034.43, 3.61, 0.12
13/02/2024 2:36:18 PM (UTC+1030), 6052709.61, 330034.73, 3.81, 0.12
13/02/2024 2:36:19 PM (UTC+1030), 6052710.63, 330035.11, 3.89, 0.12
13/02/2024 2:36:20 PM (UTC+1030), 6052711.7, 330035.54, 4.01, 0.12
13/02/2024 2:36:21 PM (UTC+1030), 6052712.79, 330036.01, 4.01, 0.12
13/02/2024 2:36:22 PM (UTC+1030), 6052713.82, 330036.34, 4.1, 0.12
13/02/2024 2:36:23 PM (UTC+1030), 6052714.92, 330036.64, 4.01, 0.12
13/02/2024 2:36:24 PM (UTC+1030), 6052716.03, 330036.71, 3.99, 0.12
13/02/2024 2:36:25 PM (UTC+1030), 6052717.06, 330036.71, 3.99, 0.12
13/02/2024 2:36:26 PM (UTC+1030), 6052718.18, 330036.89, 3.96, 0.12
13/02/2024 2:36:27 PM (UTC+1030), 6052719.22, 330037.22, 3.95, 0.12
13/02/2024 2:36:28 PM (UTC+1030), 6052720.24, 330037.69, 3.98, 0.12
13/02/2024 2:36:29 PM (UTC+1030), 6052721.25, 330038.18, 4.01, 0.12
13/02/2024 2:36:30 PM (UTC+1030), 6052722.39, 330038.56, 4, 0.12
13/02/2024 2:36:31 PM (UTC+1030), 6052723.53, 330038.96, 3.96, 0.12
13/02/2024 2:36:32 PM (UTC+1030), 6052724.67, 330039.38, 4.04, 0.12
13/02/2024 2:36:33 PM (UTC+1030), 6052725.78, 330039.76, 3.98, 0.12
13/02/2024 2:36:34 PM (UTC+1030), 6052726.84, 330040.15, 4.02, 0.12
13/02/2024 2:36:35 PM (UTC+1030), 6052727.92, 330040.63, 3.96, 0.12
13/02/2024 2:36:36 PM (UTC+1030), 6052728.89, 330041.3, 4.03, 0.12
13/02/2024 2:36:37 PM (UTC+1030), 6052729.76, 330042.06, 3.98, 0.12
13/02/2024 2:36:38 PM (UTC+1030), 6052730.65, 330042.7, 4.05, 0.12
13/02/2024 2:36:39 PM (UTC+1030), 6052731.75, 330043.12, 3.98, 0.12
13/02/2024 2:36:40 PM (UTC+1030), 6052732.82, 330043.49, 4.07, 0.12
13/02/2024 2:36:41 PM (UTC+1030), 6052733.85, 330044.07, 4, 0.12
13/02/2024 2:36:42 PM (UTC+1030), 6052734.73, 330044.9, 4, 0.12
13/02/2024 2:36:43 PM (UTC+1030), 6052735.71, 330045.44, 3.96, 0.12
13/02/2024 2:36:44 PM (UTC+1030), 6052736.55, 330046, 3.98, 0.12
13/02/2024 2:36:45 PM (UTC+1030), 6052737.2, 330046.96, 3.99, 0.12
13/02/2024 2:36:46 PM (UTC+1030), 6052737.76, 330048.1, 3.97, 0.12
13/02/2024 2:36:47 PM (UTC+1030), 6052738.32, 330049.22, 3.92, 0.12
13/02/2024 2:36:48 PM (UTC+1030), 6052738.93, 330050.22, 3.92, 0.12
13/02/2024 2:36:49 PM (UTC+1030), 6052739.72, 330051.02, 3.89, 0.12
13/02/2024 2:36:50 PM (UTC+1030), 6052740.75, 330051.62, 3.86, 0.12
13/02/2024 2:36:51 PM (UTC+1030), 6052741.84, 330052.05, 3.91, 0.12
13/02/2024 2:36:52 PM (UTC+1030), 6052742.98, 330052.38, 3.89, 0.12
13/02/2024 2:36:53 PM (UTC+1030), 6052744.07, 330052.65, 3.9, 0.12
13/02/2024 2:36:54 PM (UTC+1030), 6052745.23, 330052.93, 3.87, 0.12
13/02/2024 2:36:55 PM (UTC+1030), 6052746.38, 330053.1, 3.95, 0.12
13/02/2024 2:36:56 PM (UTC+1030), 6052747.56, 330053.16, 3.94, 0.12
13/02/2024 2:36:57 PM (UTC+1030), 6052748.7, 330053.14, 4.04, 0.12
13/02/2024 2:36:58 PM (UTC+1030), 6052749.8, 330053.17, 3.89, 0.12
13/02/2024 2:36:59 PM (UTC+1030), 6052750.92, 330053.32, 3.98, 0.12
13/02/2024 2:37:00 PM (UTC+1030), 6052751.98, 330053.64, 3.92, 0.12
13/02/2024 2:37:01 PM (UTC+1030), 6052752.96, 330054.03, 3.93, 0.12
13/02/2024 2:37:02 PM (UTC+1030), 6052753.94, 330054.47, 3.76, 0.12
13/02/2024 2:37:03 PM (UTC+1030), 6052754.98, 330054.95, 3.83, 0.12
13/02/2024 2:37:04 PM (UTC+1030), 6052755.97, 330055.36, 3.8, 0.12
13/02/2024 2:37:05 PM (UTC+1030), 6052756.72, 330055.76, 3.88, 0.12
13/02/2024 2:37:06 PM (UTC+1030), 6052757.06, 330056.49, 3.87, 0.12
13/02/2024 2:37:07 PM (UTC+1030), 6052756.79, 330057.6, 3.74, 0.12
13/02/2024 2:37:08 PM (UTC+1030), 6052756.42, 330058.65, 3.79, 0.12
13/02/2024 2:37:09 PM (UTC+1030), 6052755.85, 330059.61, 3.68, 0.12
13/02/2024 2:37:10 PM (UTC+1030), 6052755.23, 330060.42, 3.58, 0.12
13/02/2024 2:37:11 PM (UTC+1030), 6052754.79, 330061.28, 3.5, 0.12
13/02/2024 2:37:12 PM (UTC+1030), 6052754.6, 330061.9, 3.52, 0.12
13/02/2024 2:37:13 PM (UTC+1030), 6052754.45, 330062.41, 3.48, 0.12
13/02/2024 2:37:14 PM (UTC+1030), 6052754.17, 330063.25, 3.49, 0.12
13/02/2024 2:37:15 PM (UTC+1030), 6052753.91, 330064.35, 3.45, 0.12
13/02/2024 2:37:16 PM (UTC+1030), 6052753.62, 330065.39, 3.4, 0.12
13/02/2024 2:37:17 PM (UTC+1030), 6052753.35, 330066.6, 3.38, 0.12
13/02/2024 2:37:18 PM (UTC+1030), 6052753.05, 330067.86, 3.35, 0.12
13/02/2024 2:37:19 PM (UTC+1030), 6052752.63, 330069.14, 3.29, 0.12
13/02/2024 2:37:20 PM (UTC+1030), 6052752.17, 330070.42, 3.3, 0.12
13/02/2024 2:37:21 PM (UTC+1030), 6052751.75, 330071.7, 3.24, 0.12
13/02/2024 2:37:22 PM (UTC+1030), 6052751.07, 330072.88, 3.23, 0.12
13/02/2024 2:37:23 PM (UTC+1030), 6052750.36, 330073.98, 3.3, 0.12
13/02/2024 2:37:24 PM (UTC+1030), 6052749.85, 330075.27, 3.2, 0.13
13/02/2024 2:37:25 PM (UTC+1030), 6052749.28, 330076.56, 3.18, 0.13
13/02/2024 2:37:26 PM (UTC+1030), 6052748.68, 330077.85, 3.19, 0.12
13/02/2024 2:37:27 PM (UTC+1030), 6052748.07, 330079.09, 3.11, 0.13
13/02/2024 2:37:28 PM (UTC+1030), 6052747.39, 330080.31, 3.01, 0.13
13/02/2024 2:37:29 PM (UTC+1030), 6052746.65, 330081.49, 2.95, 0.13
13/02/2024 2:37:30 PM (UTC+1030), 6052745.82, 330082.67, 2.96, 0.13
13/02/2024 2:37:31 PM (UTC+1030), 6052744.94, 330083.77, 2.94, 0.13
13/02/2024 2:37:32 PM (UTC+1030), 6052744.04, 330084.79, 2.9, 0.13
13/02/2024 2:37:33 PM (UTC+1030), 6052743.19, 330085.83, 2.93, 0.13
13/02/2024 2:37:34 PM (UTC+1030), 6052742.39, 330086.95, 2.85, 0.13
13/02/2024 2:37:35 PM (UTC+1030), 6052741.57, 330088.03, 2.78, 0.13
13/02/2024 2:37:36 PM (UTC+1030), 6052740.68, 330089.07, 2.79, 0.13
13/02/2024 2:37:37 PM (UTC+1030), 6052739.78, 330090.23, 2.63, 0.13
13/02/2024 2:37:38 PM (UTC+1030), 6052738.96, 330091.41, 2.64, 0.13
13/02/2024 2:37:39 PM (UTC+1030), 6052738.31, 330092.6, 2.78, 0.13
13/02/2024 2:37:40 PM (UTC+1030), 6052737.7, 330093.72, 2.79, 0.13
13/02/2024 2:37:41 PM (UTC+1030), 6052737.06, 330094.7, 2.89, 0.13
13/02/2024 2:37:42 PM (UTC+1030), 6052736.5, 330095.67, 3.01, 0.13
13/02/2024 2:37:43 PM (UTC+1030), 6052735.88, 330096.71, 2.98, 0.13
13/02/2024 2:37:44 PM (UTC+1030), 6052735.18, 330097.81, 3, 0.13
13/02/2024 2:37:45 PM (UTC+1030), 6052734.61, 330098.95, 3.06, 0.13
13/02/2024 2:37:46 PM (UTC+1030), 6052734.17, 330100.09, 3.05, 0.13
13/02/2024 2:37:47 PM (UTC+1030), 6052733.42, 330101.03, 3.01, 0.13
13/02/2024 2:37:48 PM (UTC+1030), 6052732.66, 330102.01, 3.08, 0.13
13/02/2024 2:37:49 PM (UTC+1030), 6052732.03, 330103.07, 3.08, 0.13
13/02/2024 2:37:50 PM (UTC+1030), 6052731.43, 330104.15, 3, 0.13
13/02/2024 2:37:51 PM (UTC+1030), 6052730.92, 330105.16, 2.93, 0.13
13/02/2024 2:37:52 PM (UTC+1030), 6052730.58, 330106.42, 2.9, 0.13
13/02/2024 2:37:53 PM (UTC+1030), 6052730.26, 330107.71, 2.72, 0.13
13/02/2024 2:37:54 PM (UTC+1030), 6052730.11, 330109, 2.75, 0.13
13/02/2024 2:37:55 PM (UTC+1030), 6052729.86, 330110.27, 2.73, 0.13
13/02/2024 2:37:56 PM (UTC+1030), 6052729.48, 330111.53, 2.68, 0.13
13/02/2024 2:37:57 PM (UTC+1030), 6052729.05, 330112.72, 2.75, 0.13
13/02/2024 2:37:58 PM (UTC+1030), 6052728.54, 330113.83, 2.73, 0.13
13/02/2024 2:37:59 PM (UTC+1030), 6052728.18, 330115.07, 2.72, 0.13
13/02/2024 2:38:00 PM (UTC+1030), 6052728, 330116.28, 2.75, 0.13
13/02/2024 2:38:01 PM (UTC+1030), 6052727.83, 330117.54, 2.75, 0.13
13/02/2024 2:38:02 PM (UTC+1030), 6052727.69, 330118.79, 2.69, 0.13
13/02/2024 2:38:03 PM (UTC+1030), 6052727.51, 330120.11, 2.66, 0.13
13/02/2024 2:38:04 PM (UTC+1030), 6052727.31, 330121.28, 2.73, 0.13
13/02/2024 2:38:05 PM (UTC+1030), 6052727.11, 330122.49, 2.61, 0.13
13/02/2024 2:38:06 PM (UTC+1030), 6052726.69, 330123.6, 2.66, 0.13
13/02/2024 2:38:07 PM (UTC+1030), 6052726.13, 330124.65, 2.55, 0.13
13/02/2024 2:38:08 PM (UTC+1030), 6052725.8, 330125.79, 2.57, 0.13
13/02/2024 2:38:09 PM (UTC+1030), 6052725.54, 330126.97, 2.5, 0.13
13/02/2024 2:38:10 PM (UTC+1030), 6052725.19, 330128.08, 2.52, 0.13
13/02/2024 2:38:11 PM (UTC+1030), 6052724.65, 330129.28, 2.44, 0.13
13/02/2024 2:38:12 PM (UTC+1030), 6052724.04, 330130.42, 2.41, 0.13
13/02/2024 2:38:13 PM (UTC+1030), 6052723.34, 330131.51, 2.39, 0.13
13/02/2024 2:38:14 PM (UTC+1030), 6052722.89, 330132.79, 2.34, 0.13
13/02/2024 2:38:15 PM (UTC+1030), 6052722.68, 330134.04, 2.36, 0.13
13/02/2024 2:38:16 PM (UTC+1030), 6052722.42, 330135.22, 2.4, 0.13
13/02/2024 2:38:17 PM (UTC+1030), 6052721.92, 330136.38, 2.34, 0.13
13/02/2024 2:38:18 PM (UTC+1030), 6052721.29, 330137.42, 2.45, 0.13
13/02/2024 2:38:19 PM (UTC+1030), 6052720.79, 330138.49, 2.47, 0.13
13/02/2024 2:38:20 PM (UTC+1030), 6052720.8, 330139.7, 2.54, 0.13
13/02/2024 2:38:21 PM (UTC+1030), 6052720.58, 330140.9, 2.59, 0.13
13/02/2024 2:38:22 PM (UTC+1030), 6052720, 330142.05, 2.54, 0.13
13/02/2024 2:38:23 PM (UTC+1030), 6052719.39, 330143.12, 2.67, 0.13
13/02/2024 2:38:24 PM (UTC+1030), 6052718.96, 330144.21, 2.68, 0.13
13/02/2024 2:38:25 PM (UTC+1030), 6052718.74, 330145.3, 2.69, 0.13
13/02/2024 2:38:26 PM (UTC+1030), 6052718.38, 330146.43, 2.71, 0.13
13/02/2024 2:38:27 PM (UTC+1030), 6052717.89, 330147.63, 2.57, 0.13
13/02/2024 2:38:28 PM (UTC+1030), 6052717.32, 330148.89, 2.55, 0.13
13/02/2024 2:38:29 PM (UTC+1030), 6052716.78, 330149.99, 2.63, 0.13
13/02/2024 2:38:30 PM (UTC+1030), 6052716.36, 330150.89, 2.6, 0.13
13/02/2024 2:38:31 PM (UTC+1030), 6052716.07, 330152.03, 2.57, 0.13
13/02/2024 2:38:32 PM (UTC+1030), 6052715.69, 330153.05, 2.63, 0.13
13/02/2024 2:38:33 PM (UTC+1030), 6052715.34, 330154.07, 2.59, 0.13
13/02/2024 2:38:34 PM (UTC+1030), 6052714.83, 330155.15, 2.61, 0.13
13/02/2024 2:38:35 PM (UTC+1030), 6052714.39, 330156.3, 2.49, 0.13
13/02/2024 2:38:36 PM (UTC+1030), 6052713.87, 330157.38, 2.46, 0.13
13/02/2024 2:38:37 PM (UTC+1030), 6052713.21, 330158.39, 2.53, 0.13
13/02/2024 2:38:38 PM (UTC+1030), 6052712.63, 330159.38, 2.48, 0.13
13/02/2024 2:38:39 PM (UTC+1030), 6052712.05, 330160.48, 2.45, 0.13
13/02/2024 2:38:40 PM (UTC+1030), 6052711.54, 330161.63, 2.32, 0.13
13/02/2024 2:38:41 PM (UTC+1030), 6052711.07, 330162.78, 2.23, 0.13
13/02/2024 2:38:42 PM (UTC+1030), 6052710.61, 330163.83, 2.2, 0.13
13/02/2024 2:38:43 PM (UTC+1030), 6052710.08, 330164.94, 2.08, 0.13
13/02/2024 2:38:44 PM (UTC+1030), 6052709.58, 330166.09, 2.05, 0.13
13/02/2024 2:38:45 PM (UTC+1030), 6052709.08, 330167.23, 2.03, 0.13
13/02/2024 2:38:46 PM (UTC+1030), 6052708.54, 330168.34, 1.86, 0.13
13/02/2024 2:38:47 PM (UTC+1030), 6052708.13, 330169.48, 1.82, 0.13
13/02/2024 2:38:48 PM (UTC+1030), 6052707.73, 330170.55, 1.82, 0.13
13/02/2024 2:38:49 PM (UTC+1030), 6052707.33, 330171.47, 1.75, 0.13
13/02/2024 2:38:50 PM (UTC+1030), 6052706.82, 330172.31, 1.78, 0.13
13/02/2024 2:38:51 PM (UTC+1030), 6052706.42, 330173.15, 1.69, 0.13
13/02/2024 2:38:52 PM (UTC+1030), 6052705.94, 330173.87, 1.67, 0.13
13/02/2024 2:38:53 PM (UTC+1030), 6052705.62, 330174.53, 1.62, 0.13
13/02/2024 2:38:54 PM (UTC+1030), 6052705.5, 330175.21, 1.66, 0.13
13/02/2024 2:38:55 PM (UTC+1030), 6052705.62, 330175.75, 1.7, 0.13
13/02/2024 2:38:56 PM (UTC+1030), 6052705.65, 330176.31, 1.7, 0.13
13/02/2024 2:38:57 PM (UTC+1030), 6052705.87, 330176.91, 1.67, 0.13
13/02/2024 2:38:58 PM (UTC+1030), 6052706.04, 330177.12, 1.68, 0.13
13/02/2024 2:39:39 PM (UTC+1030), 6052706.14, 330177.44, 1.69, 0.14
13/02/2024 2:39:42 PM (UTC+1030), 6052705.7, 330176.91, 1.66, 0.14
13/02/2024 2:39:43 PM (UTC+1030), 6052705.41, 330176.53, 1.74, 0.14
13/02/2024 2:39:45 PM (UTC+1030), 6052705.71, 330176.64, 1.67, 0.14
13/02/2024 2:39:51 PM (UTC+1030), 6052705.61, 330176.4, 1.75, 0.14
13/02/2024 2:39:53 PM (UTC+1030), 6052705.57, 330176.66, 1.72, 0.14
13/02/2024 2:39:54 PM (UTC+1030), 6052705.89, 330176.99, 1.64, 0.14
13/02/2024 2:39:55 PM (UTC+1030), 6052706.15, 330176.91, 1.37, 0.14
13/02/2024 2:39:56 PM (UTC+1030), 6052705.99, 330177.21, 1.6, 0.14
13/02/2024 2:39:57 PM (UTC+1030), 6052705.81, 330177.49, 1.52, 0.14
13/02/2024 2:39:59 PM (UTC+1030), 6052706.26, 330177.75, 1.38, 0.14
13/02/2024 2:40:56 PM (UTC+1030), 6052706.51, 330177.77, 0.77, 0.15
13/02/2024 2:41:01 PM (UTC+1030), 6052706.36, 330177.97, 0.75, 0.15
13/02/2024 2:41:20 PM (UTC+1030), 6052706.1, 330178.22, 0.66, 0.15
13/02/2024 2:41:51 PM (UTC+1030), 6052706.38, 330177.84, 0.82, 0.16
13/02/2024 2:42:04 PM (UTC+1030), 6052706.35, 330177.51, 0.89, 0.18  
