,cata_x,cata_y,cata_z,cata_data_source,cata_xx,cata_yy,loupe_x,loupe_y,loupe_z,loupe_C,offset_xy
2024-11-26 23:32:27+00:00,,,,,,,489863.2,6277218.2,2.2,X,
2024-11-26 23:32:28+00:00,,,,,,,489861.8,6277217.9,2.3,X,
2024-11-26 23:32:29+00:00,,,,,,,489860.4,6277217.6,2.3,X,
2024-11-26 23:32:30+00:00,,,,,,,489859.0,6277217.2,2.2,X,
2024-11-26 23:32:31+00:00,,,,,,,489857.7,6277216.9,2.2,X,
2024-11-26 23:32:32+00:00,,,,,,,489856.4,6277216.5,2.2,X,
2024-11-26 23:32:33+00:00,,,,,,,489855.1,6277216.1,2.2,X,
2024-11-26 23:32:34+00:00,,,,,,,489853.7,6277215.8,2.2,X,
2024-11-26 23:32:35+00:00,,,,,,,489852.4,6277215.5,2.2,X,
2024-11-26 23:32:36+00:00,,,,,,,489851.1,6277215.3,2.2,X,
2024-11-26 23:32:37+00:00,,,,,,,489849.8,6277215.0,2.2,X,
2024-11-26 23:32:38+00:00,,,,,,,489848.5,6277214.7,2.3,X,
2024-11-26 23:32:39+00:00,,,,,,,489847.3,6277214.3,2.3,X,
2024-11-26 23:32:40+00:00,,,,,,,489846.0,6277213.8,2.3,X,
2024-11-26 23:32:41+00:00,,,,,,,489844.7,6277213.5,2.3,X,
2024-11-26 23:32:42+00:00,,,,,,,489843.4,6277213.2,2.4,X,
2024-11-26 23:32:43+00:00,,,,,,,489842.1,6277212.8,2.4,X,
2024-11-26 23:32:44+00:00,,,,,,,489840.7,6277212.5,2.4,X,
2024-11-26 23:32:45+00:00,,,,,,,489839.3,6277212.2,2.4,X,
2024-11-26 23:32:46+00:00,,,,,,,489838.0,6277211.8,2.5,X,
2024-11-26 23:32:47+00:00,,,,,,,489836.6,6277211.4,2.5,X,
2024-11-26 23:32:48+00:00,,,,,,,489835.2,6277211.1,2.5,X,
2024-11-26 23:32:49+00:00,,,,,,,489833.9,6277210.8,2.5,X,
2024-11-26 23:32:50+00:00,,,,,,,489832.7,6277210.5,2.6,X,
2024-11-26 23:32:51+00:00,,,,,,,489831.4,6277210.1,2.5,X,
2024-11-26 23:32:52+00:00,,,,,,,489830.1,6277209.8,2.5,X,
2024-11-26 23:32:53+00:00,,,,,,,489828.8,6277209.4,2.6,X,
2024-11-26 23:32:54+00:00,,,,,,,489827.5,6277209.1,2.5,X,
2024-11-26 23:32:55+00:00,,,,,,,489826.1,6277208.8,2.5,X,
2024-11-26 23:32:56+00:00,,,,,,,489824.8,6277208.5,2.5,X,
2024-11-26 23:32:57+00:00,,,,,,,489823.6,6277208.3,2.5,X,
2024-11-26 23:32:58+00:00,,,,,,,489822.2,6277208.1,2.5,X,
2024-11-26 23:32:59+00:00,,,,,,,489820.9,6277207.7,2.5,X,
2024-11-26 23:33:00+00:00,,,,,,,489819.6,6277207.3,2.6,X,
2024-11-26 23:33:01+00:00,,,,,,,489818.3,6277207.0,2.5,X,
2024-11-26 23:33:02+00:00,,,,,,,489817.0,6277206.7,2.4,X,
2024-11-26 23:33:03+00:00,,,,,,,489815.7,6277206.5,2.5,X,
2024-11-26 23:33:04+00:00,,,,,,,489814.3,6277206.2,2.5,X,
2024-11-26 23:33:05+00:00,,,,,,,489812.9,6277206.0,2.4,X,
2024-11-26 23:33:06+00:00,,,,,,,489811.5,6277205.6,2.5,X,
2024-11-26 23:33:07+00:00,,,,,,,489810.2,6277205.2,2.5,X,
2024-11-26 23:33:08+00:00,,,,,,,489808.9,6277204.8,2.4,X,
2024-11-26 23:33:09+00:00,,,,,,,489807.4,6277204.5,2.4,X,
