Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 5:04:53 pm (UTC+1000), 6200550.25, 626851.19, 38.76, 0.04
16/9/2024 5:04:54 pm (UTC+1000), 6200551.16, 626852.06, 38.71, 0.03
16/9/2024 5:04:55 pm (UTC+1000), 6200551.88, 626853.03, 38.71, 0.03
16/9/2024 5:04:56 pm (UTC+1000), 6200552.57, 626853.96, 38.68, 0.03
16/9/2024 5:04:57 pm (UTC+1000), 6200553.18, 626854.96, 38.65, 0.03
16/9/2024 5:04:58 pm (UTC+1000), 6200553.49, 626856.05, 38.67, 0.03
16/9/2024 5:04:59 pm (UTC+1000), 6200553.63, 626857.15, 38.64, 0.03
16/9/2024 5:05:00 pm (UTC+1000), 6200553.62, 626858.34, 38.62, 0.03
16/9/2024 5:05:01 pm (UTC+1000), 6200553.56, 626859.54, 38.63, 0.03
16/9/2024 5:05:02 pm (UTC+1000), 6200553.45, 626860.56, 38.71, 0.04
16/9/2024 5:05:03 pm (UTC+1000), 6200553.19, 626861.59, 38.7, 0.04
16/9/2024 5:05:04 pm (UTC+1000), 6200552.92, 626862.68, 38.79, 0.04
16/9/2024 5:05:05 pm (UTC+1000), 6200552.66, 626863.7, 38.76, 0.04
16/9/2024 5:05:06 pm (UTC+1000), 6200552.58, 626864.7, 38.72, 0.04
16/9/2024 5:05:07 pm (UTC+1000), 6200552.82, 626865.7, 38.75, 0.05
16/9/2024 5:05:08 pm (UTC+1000), 6200553.09, 626866.72, 38.7, 0.05
16/9/2024 5:05:09 pm (UTC+1000), 6200553.34, 626867.74, 38.74, 0.06
16/9/2024 5:05:10 pm (UTC+1000), 6200553.49, 626868.9, 38.68, 0.06
16/9/2024 5:05:11 pm (UTC+1000), 6200553.63, 626869.99, 38.54, 0.06
16/9/2024 5:05:12 pm (UTC+1000), 6200553.81, 626871.05, 38.66, 0.07
16/9/2024 5:05:13 pm (UTC+1000), 6200553.93, 626872.17, 38.57, 0.08
16/9/2024 5:05:14 pm (UTC+1000), 6200554.09, 626873.31, 38.66, 0.09
16/9/2024 5:05:15 pm (UTC+1000), 6200554.26, 626874.46, 38.62, 0.10
16/9/2024 5:05:16 pm (UTC+1000), 6200554.52, 626875.56, 38.63, 0.12
16/9/2024 5:05:17 pm (UTC+1000), 6200554.79, 626876.74, 38.6, 0.11
16/9/2024 5:05:18 pm (UTC+1000), 6200554.98, 626877.9, 38.65, 0.09
16/9/2024 5:05:19 pm (UTC+1000), 6200555.18, 626879.02, 38.68, 0.09
16/9/2024 5:05:20 pm (UTC+1000), 6200555.27, 626880.04, 38.62, 0.03
16/9/2024 5:05:21 pm (UTC+1000), 6200555.5, 626881.1, 38.62, 0.04
16/9/2024 5:05:22 pm (UTC+1000), 6200555.72, 626882.19, 38.65, 0.03
16/9/2024 5:05:23 pm (UTC+1000), 6200555.86, 626883.31, 38.6, 0.03
16/9/2024 5:05:24 pm (UTC+1000), 6200555.85, 626884.48, 38.58, 0.02
16/9/2024 5:05:25 pm (UTC+1000), 6200555.81, 626885.63, 38.63, 0.03
16/9/2024 5:05:26 pm (UTC+1000), 6200555.73, 626886.76, 38.62, 0.03
16/9/2024 5:05:27 pm (UTC+1000), 6200555.52, 626887.91, 38.64, 0.03
16/9/2024 5:05:28 pm (UTC+1000), 6200555.22, 626889.11, 38.59, 0.02
16/9/2024 5:05:29 pm (UTC+1000), 6200554.91, 626890.23, 38.66, 0.03
16/9/2024 5:05:30 pm (UTC+1000), 6200554.67, 626891.26, 38.58, 0.02
16/9/2024 5:05:31 pm (UTC+1000), 6200554.56, 626892.3, 38.64, 0.03
16/9/2024 5:05:32 pm (UTC+1000), 6200554.38, 626893.34, 38.58, 0.03
16/9/2024 5:05:33 pm (UTC+1000), 6200554.22, 626894.34, 38.6, 0.03
16/9/2024 5:05:34 pm (UTC+1000), 6200554.13, 626895.38, 38.58, 0.02
16/9/2024 5:05:35 pm (UTC+1000), 6200554.08, 626896.51, 38.61, 0.02
16/9/2024 5:05:36 pm (UTC+1000), 6200554.01, 626897.66, 38.56, 0.02
16/9/2024 5:05:37 pm (UTC+1000), 6200553.96, 626898.85, 38.63, 0.02
16/9/2024 5:05:38 pm (UTC+1000), 6200553.84, 626900.11, 38.61, 0.02
16/9/2024 5:05:39 pm (UTC+1000), 6200553.51, 626901.34, 38.61, 0.02
16/9/2024 5:05:40 pm (UTC+1000), 6200553.11, 626902.48, 38.64, 0.02
16/9/2024 5:05:41 pm (UTC+1000), 6200552.76, 626903.59, 38.62, 0.02
16/9/2024 5:05:42 pm (UTC+1000), 6200552.45, 626904.65, 38.69, 0.02
16/9/2024 5:05:43 pm (UTC+1000), 6200552.27, 626905.7, 38.61, 0.02
16/9/2024 5:05:44 pm (UTC+1000), 6200551.97, 626906.78, 38.7, 0.02
16/9/2024 5:05:45 pm (UTC+1000), 6200551.42, 626907.9, 38.7, 0.02
16/9/2024 5:05:46 pm (UTC+1000), 6200550.92, 626909.1, 38.67, 0.02
16/9/2024 5:05:47 pm (UTC+1000), 6200550.6, 626910.25, 38.75, 0.02
16/9/2024 5:05:48 pm (UTC+1000), 6200550.18, 626911.41, 38.73, 0.02
16/9/2024 5:05:49 pm (UTC+1000), 6200549.65, 626912.47, 38.79, 0.02
16/9/2024 5:05:50 pm (UTC+1000), 6200549.1, 626913.55, 38.83, 0.02
16/9/2024 5:05:51 pm (UTC+1000), 6200548.55, 626914.64, 38.81, 0.02
16/9/2024 5:05:52 pm (UTC+1000), 6200548.01, 626915.73, 38.89, 0.02
16/9/2024 5:05:53 pm (UTC+1000), 6200547.56, 626916.87, 38.9, 0.02
16/9/2024 5:05:54 pm (UTC+1000), 6200547.12, 626917.98, 38.96, 0.02
16/9/2024 5:05:55 pm (UTC+1000), 6200546.62, 626919.05, 38.99, 0.02
16/9/2024 5:05:56 pm (UTC+1000), 6200546.06, 626920.09, 39.01, 0.02
16/9/2024 5:05:57 pm (UTC+1000), 6200545.58, 626921.19, 39.12, 0.02
16/9/2024 5:05:58 pm (UTC+1000), 6200545.33, 626922.41, 39.09, 0.02
16/9/2024 5:05:59 pm (UTC+1000), 6200545.01, 626923.56, 39.2, 0.02
16/9/2024 5:06:00 pm (UTC+1000), 6200544.62, 626924.67, 39.19, 0.02
16/9/2024 5:06:01 pm (UTC+1000), 6200544.17, 626925.79, 39.22, 0.03
16/9/2024 5:06:02 pm (UTC+1000), 6200543.75, 626926.93, 39.25, 0.03
16/9/2024 5:06:03 pm (UTC+1000), 6200543.32, 626928.04, 39.3, 0.03
16/9/2024 5:06:04 pm (UTC+1000), 6200542.97, 626929.23, 39.32, 0.03
16/9/2024 5:06:05 pm (UTC+1000), 6200542.78, 626930.46, 39.3, 0.04
16/9/2024 5:06:06 pm (UTC+1000), 6200542.5, 626931.66, 39.31, 0.05
16/9/2024 5:06:07 pm (UTC+1000), 6200542.48, 626932.85, 39.34, 0.05
16/9/2024 5:06:08 pm (UTC+1000), 6200542.26, 626934.05, 39.38, 0.06
16/9/2024 5:06:09 pm (UTC+1000), 6200542.11, 626935.2, 39.29, 0.07
16/9/2024 5:06:10 pm (UTC+1000), 6200541.87, 626936.42, 39.4, 0.07
16/9/2024 5:06:11 pm (UTC+1000), 6200541.64, 626937.58, 39.39, 0.07
16/9/2024 5:06:12 pm (UTC+1000), 6200541.33, 626938.8, 39.32, 0.08
16/9/2024 5:06:13 pm (UTC+1000), 6200541.14, 626939.94, 39.35, 0.08
16/9/2024 5:06:14 pm (UTC+1000), 6200540.92, 626941.14, 39.3, 0.08
16/9/2024 5:06:15 pm (UTC+1000), 6200540.73, 626942.34, 39.29, 0.09
16/9/2024 5:06:16 pm (UTC+1000), 6200540.71, 626943.55, 39.24, 0.05
16/9/2024 5:06:17 pm (UTC+1000), 6200540.76, 626944.72, 39.24, 0.04
16/9/2024 5:06:18 pm (UTC+1000), 6200541.12, 626945.93, 39.22, 0.04
16/9/2024 5:06:19 pm (UTC+1000), 6200541.51, 626947.2, 39.15, 0.04
16/9/2024 5:06:20 pm (UTC+1000), 6200541.78, 626948.54, 39.08, 0.04
16/9/2024 5:06:21 pm (UTC+1000), 6200541.99, 626949.78, 39.12, 0.05
16/9/2024 5:06:22 pm (UTC+1000), 6200542.28, 626950.96, 38.96, 0.05
16/9/2024 5:06:23 pm (UTC+1000), 6200542.54, 626952.15, 38.96, 0.05
16/9/2024 5:06:24 pm (UTC+1000), 6200542.77, 626953.41, 39.02, 0.04
16/9/2024 5:06:25 pm (UTC+1000), 6200542.98, 626954.68, 38.92, 0.04
16/9/2024 5:06:26 pm (UTC+1000), 6200543.03, 626956.07, 38.98, 0.03
16/9/2024 5:06:27 pm (UTC+1000), 6200543.08, 626957.39, 38.96, 0.03
16/9/2024 5:06:28 pm (UTC+1000), 6200543.05, 626958.69, 38.89, 0.03
16/9/2024 5:06:29 pm (UTC+1000), 6200542.96, 626960, 38.96, 0.03
16/9/2024 5:06:30 pm (UTC+1000), 6200542.79, 626961.32, 38.93, 0.02
16/9/2024 5:06:31 pm (UTC+1000), 6200542.69, 626962.64, 38.89, 0.03
16/9/2024 5:06:32 pm (UTC+1000), 6200542.59, 626963.97, 38.9, 0.02
16/9/2024 5:06:33 pm (UTC+1000), 6200542.45, 626965.28, 38.87, 0.02
16/9/2024 5:06:34 pm (UTC+1000), 6200542.36, 626966.59, 38.87, 0.02
16/9/2024 5:06:35 pm (UTC+1000), 6200542.22, 626967.85, 38.89, 0.02
16/9/2024 5:06:36 pm (UTC+1000), 6200542.11, 626969.04, 38.91, 0.02
16/9/2024 5:06:37 pm (UTC+1000), 6200542.22, 626970.22, 38.95, 0.02
16/9/2024 5:06:38 pm (UTC+1000), 6200542.19, 626971.4, 38.92, 0.02
16/9/2024 5:06:39 pm (UTC+1000), 6200542.03, 626972.57, 38.94, 0.02
16/9/2024 5:06:40 pm (UTC+1000), 6200541.97, 626973.76, 38.85, 0.02
16/9/2024 5:06:41 pm (UTC+1000), 6200541.92, 626974.92, 38.89, 0.02
16/9/2024 5:06:42 pm (UTC+1000), 6200541.75, 626976.08, 38.88, 0.02
16/9/2024 5:06:43 pm (UTC+1000), 6200541.59, 626977.25, 38.84, 0.02
16/9/2024 5:06:44 pm (UTC+1000), 6200541.55, 626978.41, 38.89, 0.02
16/9/2024 5:06:45 pm (UTC+1000), 6200541.35, 626979.49, 38.86, 0.02
16/9/2024 5:06:46 pm (UTC+1000), 6200541.08, 626980.6, 38.9, 0.02
16/9/2024 5:06:47 pm (UTC+1000), 6200540.92, 626981.82, 38.9, 0.02
16/9/2024 5:06:48 pm (UTC+1000), 6200540.83, 626983.1, 38.88, 0.02
16/9/2024 5:06:49 pm (UTC+1000), 6200540.8, 626984.33, 38.95, 0.02
16/9/2024 5:06:50 pm (UTC+1000), 6200540.73, 626985.54, 38.93, 0.02
16/9/2024 5:06:51 pm (UTC+1000), 6200540.4, 626986.68, 38.98, 0.02
16/9/2024 5:06:52 pm (UTC+1000), 6200539.85, 626987.76, 38.93, 0.02
16/9/2024 5:06:53 pm (UTC+1000), 6200539.16, 626988.75, 38.92, 0.02
16/9/2024 5:06:54 pm (UTC+1000), 6200538.3, 626989.61, 38.95, 0.02
16/9/2024 5:06:55 pm (UTC+1000), 6200537.32, 626990.41, 38.9, 0.02
16/9/2024 5:06:56 pm (UTC+1000), 6200536.38, 626991.26, 38.95, 0.02
16/9/2024 5:06:57 pm (UTC+1000), 6200535.62, 626992.21, 38.93, 0.02
16/9/2024 5:06:58 pm (UTC+1000), 6200534.95, 626993.14, 38.96, 0.02
16/9/2024 5:06:59 pm (UTC+1000), 6200534.15, 626993.94, 38.98, 0.02
16/9/2024 5:07:00 pm (UTC+1000), 6200533.48, 626994.73, 38.95, 0.02
16/9/2024 5:07:01 pm (UTC+1000), 6200532.89, 626995.65, 38.94, 0.02
16/9/2024 5:07:02 pm (UTC+1000), 6200532.41, 626996.78, 38.94, 0.02
16/9/2024 5:07:03 pm (UTC+1000), 6200531.96, 626997.87, 38.96, 0.02
16/9/2024 5:07:04 pm (UTC+1000), 6200531.46, 626998.98, 38.9, 0.02
16/9/2024 5:07:05 pm (UTC+1000), 6200531.01, 627000.09, 38.95, 0.02
16/9/2024 5:07:06 pm (UTC+1000), 6200530.57, 627001.21, 38.91, 0.02
16/9/2024 5:07:07 pm (UTC+1000), 6200530.23, 627002.23, 38.98, 0.02
16/9/2024 5:07:08 pm (UTC+1000), 6200529.88, 627003.27, 38.93, 0.02
16/9/2024 5:07:09 pm (UTC+1000), 6200529.58, 627004.37, 38.97, 0.02
16/9/2024 5:07:10 pm (UTC+1000), 6200529.34, 627005.56, 38.98, 0.02
16/9/2024 5:07:11 pm (UTC+1000), 6200529.28, 627006.62, 38.99, 0.02
16/9/2024 5:07:12 pm (UTC+1000), 6200529, 627007.65, 38.95, 0.02
16/9/2024 5:07:13 pm (UTC+1000), 6200528.55, 627008.61, 38.97, 0.02
16/9/2024 5:07:14 pm (UTC+1000), 6200528.2, 627009.47, 38.99, 0.02
16/9/2024 5:07:15 pm (UTC+1000), 6200527.73, 627010.26, 39.01, 0.02
16/9/2024 5:07:16 pm (UTC+1000), 6200527.1, 627011.13, 39, 0.02
16/9/2024 5:07:17 pm (UTC+1000), 6200526.46, 627012.01, 39.04, 0.02
16/9/2024 5:07:18 pm (UTC+1000), 6200525.92, 627012.99, 39, 0.02
16/9/2024 5:07:19 pm (UTC+1000), 6200525.49, 627014.01, 39.03, 0.02
16/9/2024 5:07:20 pm (UTC+1000), 6200524.88, 627014.87, 39.01, 0.02
16/9/2024 5:07:21 pm (UTC+1000), 6200524.3, 627015.63, 39.04, 0.02
16/9/2024 5:07:22 pm (UTC+1000), 6200523.72, 627016.56, 39, 0.02
16/9/2024 5:07:23 pm (UTC+1000), 6200523.13, 627017.51, 39.05, 0.02
16/9/2024 5:07:24 pm (UTC+1000), 6200522.63, 627018.61, 39.03, 0.02
16/9/2024 5:07:25 pm (UTC+1000), 6200522.1, 627019.65, 39.07, 0.02
16/9/2024 5:07:26 pm (UTC+1000), 6200521.53, 627020.64, 39.07, 0.02
16/9/2024 5:07:27 pm (UTC+1000), 6200521, 627021.65, 39.13, 0.02
16/9/2024 5:07:28 pm (UTC+1000), 6200520.49, 627022.78, 39.11, 0.02
16/9/2024 5:07:29 pm (UTC+1000), 6200520.03, 627023.81, 39.24, 0.02
16/9/2024 5:07:30 pm (UTC+1000), 6200519.55, 627024.9, 39.17, 0.02
16/9/2024 5:07:31 pm (UTC+1000), 6200519.08, 627026, 39.24, 0.02
16/9/2024 5:07:32 pm (UTC+1000), 6200518.67, 627027.13, 39.22, 0.02
16/9/2024 5:07:33 pm (UTC+1000), 6200518.37, 627028.27, 39.27, 0.02
16/9/2024 5:07:34 pm (UTC+1000), 6200518.22, 627029.52, 39.26, 0.02
16/9/2024 5:07:35 pm (UTC+1000), 6200518.19, 627030.77, 39.26, 0.02
16/9/2024 5:07:36 pm (UTC+1000), 6200518.15, 627032.03, 39.32, 0.02
16/9/2024 5:07:37 pm (UTC+1000), 6200518.05, 627033.23, 39.37, 0.02
16/9/2024 5:07:38 pm (UTC+1000), 6200517.97, 627034.45, 39.42, 0.02
16/9/2024 5:07:39 pm (UTC+1000), 6200517.86, 627035.68, 39.45, 0.02
16/9/2024 5:07:40 pm (UTC+1000), 6200517.79, 627036.94, 39.56, 0.02
16/9/2024 5:07:41 pm (UTC+1000), 6200517.67, 627038.19, 39.58, 0.02
16/9/2024 5:07:42 pm (UTC+1000), 6200517.54, 627039.47, 39.67, 0.02
16/9/2024 5:07:43 pm (UTC+1000), 6200517.42, 627040.74, 39.71, 0.02
16/9/2024 5:07:44 pm (UTC+1000), 6200517.35, 627041.96, 39.79, 0.02
16/9/2024 5:07:45 pm (UTC+1000), 6200517.43, 627043.16, 39.85, 0.02
16/9/2024 5:07:46 pm (UTC+1000), 6200517.5, 627044.37, 39.83, 0.02
16/9/2024 5:07:47 pm (UTC+1000), 6200517.51, 627045.56, 39.84, 0.02
16/9/2024 5:07:48 pm (UTC+1000), 6200517.42, 627046.78, 39.75, 0.02
16/9/2024 5:07:49 pm (UTC+1000), 6200517.23, 627047.96, 39.76, 0.02
16/9/2024 5:07:50 pm (UTC+1000), 6200516.99, 627049.19, 39.71, 0.03
16/9/2024 5:07:51 pm (UTC+1000), 6200516.75, 627050.41, 39.82, 0.04
16/9/2024 5:07:52 pm (UTC+1000), 6200516.69, 627051.57, 39.95, 0.04
16/9/2024 5:07:53 pm (UTC+1000), 6200516.81, 627052.49, 39.92, 0.04
16/9/2024 5:07:54 pm (UTC+1000), 6200516.94, 627053.57, 39.73, 0.05
16/9/2024 5:07:55 pm (UTC+1000), 6200516.93, 627054.69, 39.8, 0.04
16/9/2024 5:07:56 pm (UTC+1000), 6200516.61, 627055.74, 39.83, 0.04
16/9/2024 5:07:57 pm (UTC+1000), 6200516.23, 627056.78, 39.86, 0.04
16/9/2024 5:07:58 pm (UTC+1000), 6200515.76, 627057.79, 39.78, 0.05
16/9/2024 5:07:59 pm (UTC+1000), 6200515.25, 627058.84, 39.84, 0.05
16/9/2024 5:08:00 pm (UTC+1000), 6200514.77, 627059.92, 39.75, 0.05
16/9/2024 5:08:01 pm (UTC+1000), 6200514.28, 627060.96, 39.79, 0.05
16/9/2024 5:08:02 pm (UTC+1000), 6200513.76, 627062.01, 39.76, 0.03
16/9/2024 5:08:03 pm (UTC+1000), 6200513.39, 627063.04, 39.79, 0.02
16/9/2024 5:08:04 pm (UTC+1000), 6200513.09, 627064.12, 39.73, 0.02
16/9/2024 5:08:05 pm (UTC+1000), 6200512.87, 627065.28, 39.78, 0.03
16/9/2024 5:08:06 pm (UTC+1000), 6200512.82, 627066.5, 39.76, 0.02
16/9/2024 5:08:07 pm (UTC+1000), 6200512.83, 627067.71, 39.77, 0.02
16/9/2024 5:08:08 pm (UTC+1000), 6200512.74, 627068.91, 39.73, 0.02
16/9/2024 5:08:09 pm (UTC+1000), 6200512.61, 627070.03, 39.77, 0.03
16/9/2024 5:08:10 pm (UTC+1000), 6200512.45, 627071.16, 39.87, 0.04
16/9/2024 5:08:11 pm (UTC+1000), 6200512.23, 627072.23, 39.65, 0.03
16/9/2024 5:08:12 pm (UTC+1000), 6200512.02, 627073.3, 39.65, 0.02
16/9/2024 5:08:13 pm (UTC+1000), 6200511.83, 627074.38, 39.71, 0.03
16/9/2024 5:08:14 pm (UTC+1000), 6200511.65, 627075.5, 39.69, 0.03
16/9/2024 5:08:15 pm (UTC+1000), 6200511.41, 627076.59, 39.68, 0.03
16/9/2024 5:08:16 pm (UTC+1000), 6200511.13, 627077.58, 39.7, 0.03
16/9/2024 5:08:17 pm (UTC+1000), 6200510.76, 627078.58, 39.65, 0.03
16/9/2024 5:08:18 pm (UTC+1000), 6200510.28, 627079.63, 39.68, 0.02
16/9/2024 5:08:19 pm (UTC+1000), 6200509.75, 627080.5, 39.72, 0.02
16/9/2024 5:08:20 pm (UTC+1000), 6200509.26, 627081.37, 39.71, 0.02
16/9/2024 5:08:21 pm (UTC+1000), 6200509.06, 627082.41, 39.72, 0.02
16/9/2024 5:08:22 pm (UTC+1000), 6200508.94, 627083.51, 39.71, 0.02
16/9/2024 5:08:23 pm (UTC+1000), 6200508.92, 627084.6, 39.73, 0.02
16/9/2024 5:08:24 pm (UTC+1000), 6200509.2, 627085.71, 39.73, 0.02
16/9/2024 5:08:25 pm (UTC+1000), 6200509.69, 627086.67, 39.71, 0.02
16/9/2024 5:08:26 pm (UTC+1000), 6200509.94, 627087.68, 39.69, 0.02
16/9/2024 5:08:27 pm (UTC+1000), 6200510, 627088.72, 39.71, 0.02
16/9/2024 5:08:28 pm (UTC+1000), 6200509.92, 627089.69, 39.69, 0.02
16/9/2024 5:08:29 pm (UTC+1000), 6200509.57, 627090.62, 39.72, 0.02
16/9/2024 5:08:30 pm (UTC+1000), 6200509.22, 627091.51, 39.73, 0.02
16/9/2024 5:08:31 pm (UTC+1000), 6200508.91, 627092.43, 39.68, 0.02
16/9/2024 5:08:32 pm (UTC+1000), 6200508.59, 627093.4, 39.71, 0.02
16/9/2024 5:08:33 pm (UTC+1000), 6200508.32, 627094.4, 39.7, 0.02
16/9/2024 5:08:34 pm (UTC+1000), 6200508.12, 627095.39, 39.7, 0.02
16/9/2024 5:08:35 pm (UTC+1000), 6200507.86, 627096.44, 39.66, 0.02
16/9/2024 5:08:36 pm (UTC+1000), 6200507.57, 627097.49, 39.67, 0.02
16/9/2024 5:08:37 pm (UTC+1000), 6200507.62, 627098.51, 39.68, 0.02
16/9/2024 5:08:38 pm (UTC+1000), 6200507.68, 627099.62, 39.64, 0.02
16/9/2024 5:08:39 pm (UTC+1000), 6200507.55, 627100.74, 39.62, 0.02
16/9/2024 5:08:40 pm (UTC+1000), 6200507.23, 627101.82, 39.62, 0.02
16/9/2024 5:08:41 pm (UTC+1000), 6200506.79, 627102.87, 39.58, 0.02
16/9/2024 5:08:42 pm (UTC+1000), 6200506.34, 627103.96, 39.61, 0.02
16/9/2024 5:08:43 pm (UTC+1000), 6200506.01, 627105.12, 39.56, 0.02
16/9/2024 5:08:44 pm (UTC+1000), 6200505.7, 627106.29, 39.58, 0.02
16/9/2024 5:08:45 pm (UTC+1000), 6200505.26, 627107.47, 39.58, 0.02
16/9/2024 5:08:46 pm (UTC+1000), 6200504.7, 627108.6, 39.53, 0.02
