Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 5:27:46 pm (UTC+1000), 6200160.5, 627623.74, 36.47, 0.08
16/9/2024 5:27:47 pm (UTC+1000), 6200161.54, 627624.38, 36.46, 0.08
16/9/2024 5:27:48 pm (UTC+1000), 6200162.59, 627625.03, 36.36, 0.08
16/9/2024 5:27:49 pm (UTC+1000), 6200163.69, 627625.63, 36.06, 0.08
16/9/2024 5:27:50 pm (UTC+1000), 6200164.93, 627626.38, 36.07, 0.08
16/9/2024 5:27:51 pm (UTC+1000), 6200166.12, 627627.12, 36.15, 0.07
16/9/2024 5:27:52 pm (UTC+1000), 6200167.17, 627627.92, 36.19, 0.06
16/9/2024 5:27:53 pm (UTC+1000), 6200168.18, 627628.78, 36.34, 0.05
16/9/2024 5:27:54 pm (UTC+1000), 6200169.16, 627629.43, 36.56, 0.04
16/9/2024 5:27:55 pm (UTC+1000), 6200170.17, 627630.15, 36.61, 0.04
16/9/2024 5:27:56 pm (UTC+1000), 6200171.2, 627630.89, 36.69, 0.04
16/9/2024 5:27:57 pm (UTC+1000), 6200172.23, 627631.73, 36.75, 0.04
16/9/2024 5:27:58 pm (UTC+1000), 6200173.23, 627632.52, 36.7, 0.04
16/9/2024 5:27:59 pm (UTC+1000), 6200174.25, 627633.27, 36.77, 0.04
16/9/2024 5:28:00 pm (UTC+1000), 6200175.34, 627633.99, 36.73, 0.04
16/9/2024 5:28:01 pm (UTC+1000), 6200176.45, 627634.63, 36.79, 0.03
16/9/2024 5:28:02 pm (UTC+1000), 6200177.56, 627635.23, 36.78, 0.03
16/9/2024 5:28:03 pm (UTC+1000), 6200178.7, 627635.82, 36.81, 0.04
16/9/2024 5:28:04 pm (UTC+1000), 6200179.75, 627636.45, 36.85, 0.04
16/9/2024 5:28:05 pm (UTC+1000), 6200180.85, 627637.05, 36.84, 0.04
16/9/2024 5:28:06 pm (UTC+1000), 6200181.89, 627637.74, 36.92, 0.04
16/9/2024 5:28:07 pm (UTC+1000), 6200182.94, 627638.54, 37.01, 0.04
16/9/2024 5:28:08 pm (UTC+1000), 6200183.96, 627639.25, 37.02, 0.04
16/9/2024 5:28:09 pm (UTC+1000), 6200185.02, 627639.91, 37.03, 0.04
16/9/2024 5:28:10 pm (UTC+1000), 6200186.15, 627640.45, 36.94, 0.04
16/9/2024 5:28:11 pm (UTC+1000), 6200187.24, 627640.96, 37.05, 0.04
16/9/2024 5:28:12 pm (UTC+1000), 6200188.21, 627641.52, 36.91, 0.05
16/9/2024 5:28:13 pm (UTC+1000), 6200189.08, 627642.31, 36.87, 0.05
16/9/2024 5:28:14 pm (UTC+1000), 6200189.86, 627643.19, 36.87, 0.05
16/9/2024 5:28:15 pm (UTC+1000), 6200190.81, 627643.8, 36.9, 0.05
16/9/2024 5:28:16 pm (UTC+1000), 6200191.82, 627644.34, 36.72, 0.05
16/9/2024 5:28:17 pm (UTC+1000), 6200192.77, 627644.97, 36.92, 0.05
16/9/2024 5:28:18 pm (UTC+1000), 6200193.86, 627645.39, 36.92, 0.05
16/9/2024 5:28:19 pm (UTC+1000), 6200194.87, 627645.85, 36.82, 0.06
16/9/2024 5:28:20 pm (UTC+1000), 6200195.82, 627646.39, 36.96, 0.06
16/9/2024 5:28:21 pm (UTC+1000), 6200196.83, 627646.84, 36.83, 0.07
16/9/2024 5:28:22 pm (UTC+1000), 6200197.88, 627647.16, 36.8, 0.05
16/9/2024 5:28:23 pm (UTC+1000), 6200199.01, 627647.47, 36.85, 0.06
16/9/2024 5:28:24 pm (UTC+1000), 6200200.12, 627647.77, 36.68, 0.06
16/9/2024 5:28:25 pm (UTC+1000), 6200201.23, 627648.05, 36.7, 0.07
16/9/2024 5:28:26 pm (UTC+1000), 6200202.3, 627648.32, 36.85, 0.07
16/9/2024 5:28:27 pm (UTC+1000), 6200203.15, 627648.71, 36.69, 0.07
16/9/2024 5:28:28 pm (UTC+1000), 6200204.02, 627649.02, 36.63, 0.05
16/9/2024 5:28:29 pm (UTC+1000), 6200204.95, 627649.32, 36.57, 0.05
16/9/2024 5:28:30 pm (UTC+1000), 6200205.75, 627649.71, 36.42, 0.04
16/9/2024 5:28:31 pm (UTC+1000), 6200206.73, 627650.23, 36.39, 0.04
16/9/2024 5:28:32 pm (UTC+1000), 6200207.82, 627650.83, 36.29, 0.04
16/9/2024 5:28:33 pm (UTC+1000), 6200208.98, 627651.29, 36.23, 0.04
16/9/2024 5:28:34 pm (UTC+1000), 6200210.07, 627651.66, 36.26, 0.04
16/9/2024 5:28:35 pm (UTC+1000), 6200211.1, 627652.12, 36.16, 0.04
16/9/2024 5:28:36 pm (UTC+1000), 6200212.12, 627652.56, 36.14, 0.04
16/9/2024 5:28:37 pm (UTC+1000), 6200213.19, 627652.92, 36.16, 0.04
16/9/2024 5:28:38 pm (UTC+1000), 6200214.27, 627653.33, 36.18, 0.03
16/9/2024 5:28:39 pm (UTC+1000), 6200215.33, 627653.9, 36.23, 0.03
16/9/2024 5:28:40 pm (UTC+1000), 6200216.52, 627654.47, 36.2, 0.03
16/9/2024 5:28:41 pm (UTC+1000), 6200217.73, 627654.95, 36.25, 0.03
16/9/2024 5:28:42 pm (UTC+1000), 6200218.83, 627655.49, 36.37, 0.03
16/9/2024 5:28:43 pm (UTC+1000), 6200219.78, 627656.09, 36.36, 0.03
16/9/2024 5:28:44 pm (UTC+1000), 6200220.76, 627656.66, 36.27, 0.02
16/9/2024 5:28:45 pm (UTC+1000), 6200221.83, 627657.27, 36.08, 0.03
16/9/2024 5:28:46 pm (UTC+1000), 6200222.88, 627657.92, 36.06, 0.03
16/9/2024 5:28:47 pm (UTC+1000), 6200224.01, 627658.59, 35.95, 0.03
16/9/2024 5:28:48 pm (UTC+1000), 6200225.17, 627659.18, 35.9, 0.03
16/9/2024 5:28:49 pm (UTC+1000), 6200226.32, 627659.75, 35.96, 0.03
16/9/2024 5:28:50 pm (UTC+1000), 6200227.44, 627660.39, 36.07, 0.02
16/9/2024 5:28:51 pm (UTC+1000), 6200228.52, 627661.07, 36.15, 0.03
16/9/2024 5:28:52 pm (UTC+1000), 6200229.55, 627661.63, 36.33, 0.03
16/9/2024 5:28:53 pm (UTC+1000), 6200230.63, 627662.12, 36.33, 0.03
16/9/2024 5:28:54 pm (UTC+1000), 6200231.68, 627662.59, 36.5, 0.04
16/9/2024 5:28:55 pm (UTC+1000), 6200232.81, 627663.12, 36.49, 0.04
16/9/2024 5:28:56 pm (UTC+1000), 6200233.81, 627663.63, 36.5, 0.03
16/9/2024 5:28:57 pm (UTC+1000), 6200234.97, 627664.14, 36.54, 0.04
16/9/2024 5:28:58 pm (UTC+1000), 6200236.14, 627664.52, 36.53, 0.04
16/9/2024 5:28:59 pm (UTC+1000), 6200237.26, 627664.94, 36.54, 0.04
16/9/2024 5:29:00 pm (UTC+1000), 6200238.26, 627665.41, 36.6, 0.04
16/9/2024 5:29:01 pm (UTC+1000), 6200239.24, 627665.73, 36.53, 0.04
16/9/2024 5:29:02 pm (UTC+1000), 6200240.04, 627665.87, 36.46, 0.03
16/9/2024 5:29:03 pm (UTC+1000), 6200240.88, 627666.28, 36.43, 0.03
16/9/2024 5:29:04 pm (UTC+1000), 6200241.82, 627666.65, 36.5, 0.04
16/9/2024 5:29:05 pm (UTC+1000), 6200242.79, 627667.2, 36.45, 0.03
16/9/2024 5:29:06 pm (UTC+1000), 6200243.73, 627667.65, 36.41, 0.04
16/9/2024 5:29:07 pm (UTC+1000), 6200244.74, 627667.98, 36.46, 0.04
16/9/2024 5:29:08 pm (UTC+1000), 6200245.76, 627668.25, 36.46, 0.04
16/9/2024 5:29:09 pm (UTC+1000), 6200246.79, 627668.57, 36.51, 0.03
16/9/2024 5:29:10 pm (UTC+1000), 6200247.86, 627668.97, 36.55, 0.03
16/9/2024 5:29:11 pm (UTC+1000), 6200248.87, 627669.35, 36.64, 0.04
16/9/2024 5:29:12 pm (UTC+1000), 6200249.78, 627669.7, 36.67, 0.03
16/9/2024 5:29:13 pm (UTC+1000), 6200250.68, 627670.12, 36.63, 0.03
16/9/2024 5:29:14 pm (UTC+1000), 6200251.6, 627670.65, 36.68, 0.03
16/9/2024 5:29:15 pm (UTC+1000), 6200252.55, 627671.09, 36.69, 0.04
16/9/2024 5:29:16 pm (UTC+1000), 6200253.53, 627671.46, 36.76, 0.03
16/9/2024 5:29:17 pm (UTC+1000), 6200254.5, 627671.91, 36.71, 0.03
16/9/2024 5:29:18 pm (UTC+1000), 6200255.43, 627672.41, 36.69, 0.03
16/9/2024 5:29:19 pm (UTC+1000), 6200256.43, 627672.92, 36.58, 0.03
16/9/2024 5:29:20 pm (UTC+1000), 6200257.48, 627673.34, 36.58, 0.04
16/9/2024 5:29:21 pm (UTC+1000), 6200258.55, 627673.76, 36.52, 0.04
16/9/2024 5:29:22 pm (UTC+1000), 6200259.64, 627674.32, 36.5, 0.03
16/9/2024 5:29:23 pm (UTC+1000), 6200260.63, 627674.93, 36.55, 0.03
16/9/2024 5:29:24 pm (UTC+1000), 6200261.71, 627675.5, 36.47, 0.03
16/9/2024 5:29:25 pm (UTC+1000), 6200262.74, 627676.05, 36.51, 0.03
16/9/2024 5:29:26 pm (UTC+1000), 6200263.81, 627676.65, 36.44, 0.03
16/9/2024 5:29:27 pm (UTC+1000), 6200264.95, 627677.2, 36.47, 0.03
16/9/2024 5:29:28 pm (UTC+1000), 6200266.05, 627677.66, 36.51, 0.02
16/9/2024 5:29:29 pm (UTC+1000), 6200267.27, 627678.06, 36.49, 0.03
16/9/2024 5:29:30 pm (UTC+1000), 6200268.42, 627678.34, 36.54, 0.02
16/9/2024 5:29:31 pm (UTC+1000), 6200269.55, 627678.71, 36.48, 0.02
16/9/2024 5:29:32 pm (UTC+1000), 6200270.59, 627679.18, 36.5, 0.02
16/9/2024 5:29:33 pm (UTC+1000), 6200271.6, 627679.68, 36.51, 0.02
16/9/2024 5:29:34 pm (UTC+1000), 6200272.64, 627680.23, 36.47, 0.02
16/9/2024 5:29:35 pm (UTC+1000), 6200273.74, 627680.82, 36.55, 0.02
16/9/2024 5:29:36 pm (UTC+1000), 6200274.82, 627681.43, 36.52, 0.02
16/9/2024 5:29:37 pm (UTC+1000), 6200276, 627682, 36.56, 0.02
16/9/2024 5:29:38 pm (UTC+1000), 6200277.16, 627682.55, 36.58, 0.02
16/9/2024 5:29:39 pm (UTC+1000), 6200278.34, 627683.16, 36.55, 0.02
16/9/2024 5:29:40 pm (UTC+1000), 6200279.54, 627683.65, 36.63, 0.02
16/9/2024 5:29:41 pm (UTC+1000), 6200280.76, 627684.14, 36.59, 0.02
16/9/2024 5:29:42 pm (UTC+1000), 6200281.98, 627684.73, 36.62, 0.02
16/9/2024 5:29:43 pm (UTC+1000), 6200283.22, 627685.29, 36.68, 0.02
16/9/2024 5:29:44 pm (UTC+1000), 6200284.41, 627685.81, 36.64, 0.02
16/9/2024 5:29:45 pm (UTC+1000), 6200285.55, 627686.32, 36.71, 0.02
16/9/2024 5:29:46 pm (UTC+1000), 6200286.67, 627686.87, 36.68, 0.02
16/9/2024 5:29:47 pm (UTC+1000), 6200287.83, 627687.52, 36.7, 0.02
16/9/2024 5:29:48 pm (UTC+1000), 6200288.98, 627688.15, 36.73, 0.02
16/9/2024 5:29:49 pm (UTC+1000), 6200290.2, 627688.71, 36.67, 0.02
16/9/2024 5:29:50 pm (UTC+1000), 6200291.33, 627689.26, 36.76, 0.02
16/9/2024 5:29:51 pm (UTC+1000), 6200292.48, 627689.95, 36.76, 0.02
16/9/2024 5:29:52 pm (UTC+1000), 6200293.65, 627690.59, 36.75, 0.02
16/9/2024 5:29:53 pm (UTC+1000), 6200294.77, 627691.12, 36.87, 0.02
16/9/2024 5:29:54 pm (UTC+1000), 6200295.93, 627691.64, 36.87, 0.02
16/9/2024 5:29:55 pm (UTC+1000), 6200297.08, 627692.17, 36.97, 0.02
16/9/2024 5:29:56 pm (UTC+1000), 6200298.27, 627692.78, 37.03, 0.02
16/9/2024 5:29:57 pm (UTC+1000), 6200299.48, 627693.39, 37.04, 0.02
16/9/2024 5:29:58 pm (UTC+1000), 6200300.64, 627693.9, 37.1, 0.02
16/9/2024 5:29:59 pm (UTC+1000), 6200301.84, 627694.42, 37.11, 0.02
16/9/2024 5:30:00 pm (UTC+1000), 6200303.02, 627694.88, 37.2, 0.02
16/9/2024 5:30:01 pm (UTC+1000), 6200304.17, 627695.4, 37.31, 0.02
16/9/2024 5:30:02 pm (UTC+1000), 6200305.22, 627695.97, 37.39, 0.02
16/9/2024 5:30:03 pm (UTC+1000), 6200306.25, 627696.5, 37.58, 0.02
16/9/2024 5:30:04 pm (UTC+1000), 6200307.33, 627696.93, 37.7, 0.02
16/9/2024 5:30:05 pm (UTC+1000), 6200308.37, 627697.32, 37.93, 0.02
16/9/2024 5:30:06 pm (UTC+1000), 6200309.32, 627697.75, 38.17, 0.02
16/9/2024 5:30:07 pm (UTC+1000), 6200310.15, 627698.3, 38.18, 0.02
16/9/2024 5:30:08 pm (UTC+1000), 6200310.97, 627698.95, 38.34, 0.02
16/9/2024 5:30:09 pm (UTC+1000), 6200311.78, 627699.34, 38.56, 0.02
16/9/2024 5:30:10 pm (UTC+1000), 6200312.66, 627699.82, 38.74, 0.03
16/9/2024 5:30:11 pm (UTC+1000), 6200313.51, 627700.15, 38.89, 0.03
16/9/2024 5:30:12 pm (UTC+1000), 6200314.39, 627700.48, 38.94, 0.04
16/9/2024 5:30:13 pm (UTC+1000), 6200315.16, 627701.07, 39.15, 0.04
16/9/2024 5:30:14 pm (UTC+1000), 6200315.85, 627701.76, 39.18, 0.03
16/9/2024 5:30:15 pm (UTC+1000), 6200316.71, 627702.36, 39.28, 0.04
16/9/2024 5:30:16 pm (UTC+1000), 6200317.55, 627702.67, 39.42, 0.04
16/9/2024 5:30:17 pm (UTC+1000), 6200318.3, 627703.04, 39.48, 0.04
16/9/2024 5:30:18 pm (UTC+1000), 6200319.13, 627703.44, 39.4, 0.04
16/9/2024 5:30:19 pm (UTC+1000), 6200320.11, 627703.88, 39.4, 0.05
16/9/2024 5:30:20 pm (UTC+1000), 6200321.05, 627704.39, 39.32, 0.05
16/9/2024 5:30:21 pm (UTC+1000), 6200322.04, 627704.82, 39.42, 0.05
16/9/2024 5:30:22 pm (UTC+1000), 6200323.11, 627705.24, 39.45, 0.03
16/9/2024 5:30:23 pm (UTC+1000), 6200324.12, 627705.66, 39.5, 0.04
16/9/2024 5:30:24 pm (UTC+1000), 6200325.01, 627706.24, 39.44, 0.03
16/9/2024 5:30:25 pm (UTC+1000), 6200325.97, 627706.85, 39.55, 0.03
16/9/2024 5:30:26 pm (UTC+1000), 6200327, 627707.33, 39.56, 0.03
16/9/2024 5:30:27 pm (UTC+1000), 6200328.06, 627707.71, 39.62, 0.03
16/9/2024 5:30:28 pm (UTC+1000), 6200329.14, 627708.13, 39.55, 0.02
16/9/2024 5:30:29 pm (UTC+1000), 6200330.24, 627708.71, 39.61, 0.02
16/9/2024 5:30:30 pm (UTC+1000), 6200331.32, 627709.3, 39.59, 0.02
16/9/2024 5:30:31 pm (UTC+1000), 6200332.41, 627709.99, 39.54, 0.02
16/9/2024 5:30:32 pm (UTC+1000), 6200333.32, 627710.67, 39.61, 0.02
16/9/2024 5:30:33 pm (UTC+1000), 6200334.24, 627711.43, 39.55, 0.02
16/9/2024 5:30:34 pm (UTC+1000), 6200335.16, 627712.24, 39.57, 0.02
16/9/2024 5:30:35 pm (UTC+1000), 6200336.1, 627713.01, 39.5, 0.02
16/9/2024 5:30:36 pm (UTC+1000), 6200337.09, 627713.73, 39.55, 0.02
16/9/2024 5:30:37 pm (UTC+1000), 6200338.14, 627714.39, 39.53, 0.02
16/9/2024 5:30:38 pm (UTC+1000), 6200339.31, 627714.95, 39.51, 0.03
16/9/2024 5:30:39 pm (UTC+1000), 6200340.45, 627715.43, 39.55, 0.03
16/9/2024 5:30:40 pm (UTC+1000), 6200341.72, 627715.85, 39.52, 0.02
16/9/2024 5:30:41 pm (UTC+1000), 6200342.98, 627716.1, 39.51, 0.03
16/9/2024 5:30:42 pm (UTC+1000), 6200344.26, 627716.4, 39.5, 0.03
16/9/2024 5:30:43 pm (UTC+1000), 6200345.57, 627716.66, 39.46, 0.03
16/9/2024 5:30:44 pm (UTC+1000), 6200346.74, 627716.99, 39.43, 0.03
16/9/2024 5:30:45 pm (UTC+1000), 6200347.97, 627717.42, 39.41, 0.02
16/9/2024 5:30:46 pm (UTC+1000), 6200349.25, 627717.84, 39.37, 0.03
16/9/2024 5:30:47 pm (UTC+1000), 6200350.5, 627718.19, 39.4, 0.03
16/9/2024 5:30:48 pm (UTC+1000), 6200351.8, 627718.53, 39.42, 0.02
16/9/2024 5:30:49 pm (UTC+1000), 6200353.1, 627718.98, 39.38, 0.03
16/9/2024 5:30:50 pm (UTC+1000), 6200354.3, 627719.48, 39.45, 0.02
16/9/2024 5:30:51 pm (UTC+1000), 6200355.46, 627720.04, 39.38, 0.03
16/9/2024 5:30:52 pm (UTC+1000), 6200356.65, 627720.65, 39.37, 0.03
16/9/2024 5:30:53 pm (UTC+1000), 6200357.79, 627721.27, 39.43, 0.03
16/9/2024 5:30:54 pm (UTC+1000), 6200358.96, 627721.86, 39.42, 0.03
16/9/2024 5:30:55 pm (UTC+1000), 6200360.09, 627722.46, 39.43, 0.02
16/9/2024 5:30:56 pm (UTC+1000), 6200361.22, 627723.06, 39.45, 0.02
16/9/2024 5:30:57 pm (UTC+1000), 6200362.38, 627723.61, 39.47, 0.02
16/9/2024 5:30:58 pm (UTC+1000), 6200363.49, 627724.12, 39.61, 0.02
16/9/2024 5:30:59 pm (UTC+1000), 6200364.48, 627724.65, 39.63, 0.02
16/9/2024 5:31:00 pm (UTC+1000), 6200365.43, 627725.22, 39.72, 0.02
16/9/2024 5:31:01 pm (UTC+1000), 6200366.37, 627725.83, 39.69, 0.02
16/9/2024 5:31:02 pm (UTC+1000), 6200367.36, 627726.38, 39.79, 0.02
16/9/2024 5:31:03 pm (UTC+1000), 6200368.47, 627726.94, 39.78, 0.02
16/9/2024 5:31:04 pm (UTC+1000), 6200369.55, 627727.53, 39.78, 0.02
16/9/2024 5:31:05 pm (UTC+1000), 6200370.64, 627728.11, 39.84, 0.02
16/9/2024 5:31:06 pm (UTC+1000), 6200371.72, 627728.69, 39.85, 0.02
16/9/2024 5:31:07 pm (UTC+1000), 6200372.71, 627729.21, 40.01, 0.02
16/9/2024 5:31:08 pm (UTC+1000), 6200373.73, 627729.87, 39.96, 0.02
16/9/2024 5:31:09 pm (UTC+1000), 6200374.77, 627730.64, 40.03, 0.02
16/9/2024 5:31:10 pm (UTC+1000), 6200375.88, 627731.23, 40.09, 0.02
16/9/2024 5:31:11 pm (UTC+1000), 6200377.03, 627731.71, 40.04, 0.02
16/9/2024 5:31:12 pm (UTC+1000), 6200378.2, 627732.2, 40.12, 0.02
16/9/2024 5:31:13 pm (UTC+1000), 6200379.3, 627732.81, 40.09, 0.02
16/9/2024 5:31:14 pm (UTC+1000), 6200380.41, 627733.51, 40.1, 0.02
16/9/2024 5:31:15 pm (UTC+1000), 6200381.51, 627734.1, 40.09, 0.02
16/9/2024 5:31:16 pm (UTC+1000), 6200382.6, 627734.77, 39.99, 0.02
16/9/2024 5:31:17 pm (UTC+1000), 6200383.72, 627735.3, 40.02, 0.02
16/9/2024 5:31:18 pm (UTC+1000), 6200384.79, 627735.86, 39.94, 0.02
16/9/2024 5:31:19 pm (UTC+1000), 6200385.89, 627736.42, 39.93, 0.02
16/9/2024 5:31:20 pm (UTC+1000), 6200387.09, 627736.97, 39.82, 0.02
16/9/2024 5:31:21 pm (UTC+1000), 6200388.32, 627737.55, 39.62, 0.02
16/9/2024 5:31:22 pm (UTC+1000), 6200389.58, 627738.04, 39.69, 0.02
16/9/2024 5:31:23 pm (UTC+1000), 6200390.73, 627738.66, 39.8, 0.02
16/9/2024 5:31:24 pm (UTC+1000), 6200391.94, 627739.24, 39.75, 0.02
16/9/2024 5:31:25 pm (UTC+1000), 6200393.07, 627739.8, 39.76, 0.02
16/9/2024 5:31:26 pm (UTC+1000), 6200394.23, 627740.4, 39.67, 0.02
16/9/2024 5:31:27 pm (UTC+1000), 6200395.46, 627740.92, 39.53, 0.02
16/9/2024 5:31:28 pm (UTC+1000), 6200396.76, 627741.39, 39.73, 0.02
16/9/2024 5:31:29 pm (UTC+1000), 6200397.89, 627741.81, 39.91, 0.02
16/9/2024 5:31:30 pm (UTC+1000), 6200398.99, 627742.2, 39.96, 0.02
16/9/2024 5:31:31 pm (UTC+1000), 6200400.16, 627742.67, 39.92, 0.02
16/9/2024 5:31:32 pm (UTC+1000), 6200401.36, 627743.18, 39.84, 0.02
16/9/2024 5:31:33 pm (UTC+1000), 6200402.5, 627743.62, 39.71, 0.02
16/9/2024 5:31:34 pm (UTC+1000), 6200403.7, 627744.03, 39.78, 0.02
16/9/2024 5:31:35 pm (UTC+1000), 6200404.82, 627744.53, 39.72, 0.02
16/9/2024 5:31:36 pm (UTC+1000), 6200406.07, 627744.99, 39.63, 0.02
16/9/2024 5:31:37 pm (UTC+1000), 6200407.33, 627745.17, 39.68, 0.02
16/9/2024 5:31:38 pm (UTC+1000), 6200408.54, 627745.36, 39.61, 0.03
16/9/2024 5:31:39 pm (UTC+1000), 6200409.78, 627745.59, 39.67, 0.03
16/9/2024 5:31:40 pm (UTC+1000), 6200410.99, 627745.88, 39.62, 0.03
16/9/2024 5:31:41 pm (UTC+1000), 6200412.23, 627746.17, 39.67, 0.03
16/9/2024 5:31:42 pm (UTC+1000), 6200413.46, 627746.36, 39.64, 0.03
16/9/2024 5:31:43 pm (UTC+1000), 6200414.7, 627746.58, 39.59, 0.03
16/9/2024 5:31:44 pm (UTC+1000), 6200415.79, 627746.64, 39.64, 0.02
16/9/2024 5:31:45 pm (UTC+1000), 6200416.85, 627746.96, 39.6, 0.03
16/9/2024 5:31:46 pm (UTC+1000), 6200417.98, 627747.25, 39.58, 0.03
16/9/2024 5:31:47 pm (UTC+1000), 6200419.12, 627747.43, 39.57, 0.03
16/9/2024 5:31:48 pm (UTC+1000), 6200420.25, 627747.73, 39.55, 0.02
16/9/2024 5:31:49 pm (UTC+1000), 6200421.28, 627748.19, 39.53, 0.02
16/9/2024 5:31:50 pm (UTC+1000), 6200422.33, 627748.73, 39.47, 0.02
16/9/2024 5:31:51 pm (UTC+1000), 6200423.27, 627749.13, 39.53, 0.02
16/9/2024 5:31:52 pm (UTC+1000), 6200424.21, 627749.62, 39.46, 0.02
16/9/2024 5:31:53 pm (UTC+1000), 6200425.15, 627750.17, 39.44, 0.02
16/9/2024 5:31:54 pm (UTC+1000), 6200426.13, 627750.8, 39.39, 0.02
16/9/2024 5:31:55 pm (UTC+1000), 6200427.08, 627751.46, 39.42, 0.02
16/9/2024 5:31:56 pm (UTC+1000), 6200428.08, 627752.14, 39.37, 0.02
16/9/2024 5:31:57 pm (UTC+1000), 6200429.11, 627752.81, 39.42, 0.02
16/9/2024 5:31:58 pm (UTC+1000), 6200430.19, 627753.37, 39.4, 0.02
16/9/2024 5:31:59 pm (UTC+1000), 6200431.26, 627753.99, 39.34, 0.02
16/9/2024 5:32:00 pm (UTC+1000), 6200432.31, 627754.66, 39.39, 0.02
16/9/2024 5:32:01 pm (UTC+1000), 6200433.38, 627755.3, 39.34, 0.02
16/9/2024 5:32:02 pm (UTC+1000), 6200434.42, 627755.88, 39.4, 0.03
16/9/2024 5:32:03 pm (UTC+1000), 6200435.58, 627756.33, 39.36, 0.03
16/9/2024 5:32:04 pm (UTC+1000), 6200436.76, 627756.64, 39.43, 0.04
16/9/2024 5:32:05 pm (UTC+1000), 6200437.9, 627757.04, 39.46, 0.04
16/9/2024 5:32:06 pm (UTC+1000), 6200438.98, 627757.66, 39.31, 0.04
16/9/2024 5:32:07 pm (UTC+1000), 6200440.02, 627758.3, 39.42, 0.03
16/9/2024 5:32:08 pm (UTC+1000), 6200441, 627759, 39.38, 0.03
16/9/2024 5:32:09 pm (UTC+1000), 6200442.01, 627759.54, 39.42, 0.04
16/9/2024 5:32:10 pm (UTC+1000), 6200442.97, 627760.1, 39.35, 0.05
16/9/2024 5:32:11 pm (UTC+1000), 6200443.95, 627760.76, 39.35, 0.05
16/9/2024 5:32:12 pm (UTC+1000), 6200444.98, 627761.49, 39.55, 0.03
16/9/2024 5:32:13 pm (UTC+1000), 6200445.95, 627762.07, 39.52, 0.03
16/9/2024 5:32:14 pm (UTC+1000), 6200446.9, 627762.62, 39.62, 0.02
16/9/2024 5:32:15 pm (UTC+1000), 6200447.98, 627763.16, 39.49, 0.03
16/9/2024 5:32:16 pm (UTC+1000), 6200449.02, 627763.82, 39.57, 0.02
16/9/2024 5:32:17 pm (UTC+1000), 6200450.07, 627764.46, 39.55, 0.03
16/9/2024 5:32:18 pm (UTC+1000), 6200451.18, 627765.06, 39.57, 0.03
16/9/2024 5:32:19 pm (UTC+1000), 6200452.22, 627765.71, 39.54, 0.03
16/9/2024 5:32:20 pm (UTC+1000), 6200453.27, 627766.44, 39.51, 0.03
16/9/2024 5:32:21 pm (UTC+1000), 6200454.37, 627767.17, 39.57, 0.03
16/9/2024 5:32:22 pm (UTC+1000), 6200455.52, 627767.83, 39.61, 0.03
16/9/2024 5:32:23 pm (UTC+1000), 6200456.61, 627768.49, 39.57, 0.03
16/9/2024 5:32:24 pm (UTC+1000), 6200457.62, 627769.24, 39.62, 0.02
16/9/2024 5:32:25 pm (UTC+1000), 6200458.67, 627769.95, 39.6, 0.02
16/9/2024 5:32:26 pm (UTC+1000), 6200459.8, 627770.6, 39.63, 0.02
16/9/2024 5:32:27 pm (UTC+1000), 6200460.96, 627771.19, 39.67, 0.02
16/9/2024 5:32:28 pm (UTC+1000), 6200462.09, 627771.83, 39.61, 0.02
16/9/2024 5:32:29 pm (UTC+1000), 6200463.17, 627772.52, 39.7, 0.02
16/9/2024 5:32:30 pm (UTC+1000), 6200464.29, 627773.28, 39.67, 0.02
16/9/2024 5:32:31 pm (UTC+1000), 6200465.41, 627774.1, 39.62, 0.02
16/9/2024 5:32:32 pm (UTC+1000), 6200466.49, 627774.84, 39.73, 0.02
16/9/2024 5:32:33 pm (UTC+1000), 6200467.57, 627775.48, 39.65, 0.02
16/9/2024 5:32:34 pm (UTC+1000), 6200468.7, 627776.16, 39.69, 0.02
16/9/2024 5:32:35 pm (UTC+1000), 6200469.77, 627776.89, 39.73, 0.02
16/9/2024 5:32:36 pm (UTC+1000), 6200470.82, 627777.69, 39.69, 0.02
16/9/2024 5:32:37 pm (UTC+1000), 6200471.87, 627778.42, 39.77, 0.02
16/9/2024 5:32:38 pm (UTC+1000), 6200472.99, 627778.96, 39.71, 0.03
16/9/2024 5:32:39 pm (UTC+1000), 6200474.11, 627779.42, 39.7, 0.04
16/9/2024 5:32:40 pm (UTC+1000), 6200475.12, 627780.03, 39.7, 0.03
16/9/2024 5:32:41 pm (UTC+1000), 6200476.22, 627780.65, 39.65, 0.03
16/9/2024 5:32:42 pm (UTC+1000), 6200477.38, 627781.23, 39.77, 0.03
16/9/2024 5:32:43 pm (UTC+1000), 6200478.53, 627781.74, 39.72, 0.03
16/9/2024 5:32:44 pm (UTC+1000), 6200479.69, 627782.27, 39.76, 0.03
16/9/2024 5:32:45 pm (UTC+1000), 6200480.8, 627782.9, 39.76, 0.02
16/9/2024 5:32:46 pm (UTC+1000), 6200481.88, 627783.54, 39.67, 0.03
16/9/2024 5:32:47 pm (UTC+1000), 6200482.95, 627784.17, 39.72, 0.03
16/9/2024 5:32:48 pm (UTC+1000), 6200484.07, 627784.79, 39.74, 0.03
