FID ACQ ACQ_RDG ACQ_TIME                   TIME                       TS                   EAST     NORTH     HEIGHT GPS_TIME                   GPS_EAST GPS_NORTH GPS_HEIGHT TX_EAST  TX_NORTH  TX_HEIGHT RX_EAST  RX_NORTH  RX_HEIGHT ADC C DC_OFFSET               PRIMARY              NOISE                  POWERAMPL              POWERPHASE             NCH CH01                CH02                 CH03                 CH04                 CH05                 CH06                 CH07                  CH08                 CH09                  CH10                  CH11                   CH12                  CH13                    CH14                   CH15                    CH16                    CH17                    CH18                   CH19                    CH20                    CH21                    CH22                    CH23                    
LINE:330118E
4   1   3       20240213T035834.524575397Z 20240213T035838.000000000Z 1707796718.000000000 330116.7 6052726.9 21.2   20240213T035839.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.1 X 0.0013314487934960192   3445.9927484033942   2.829478156367593e-05  1.9567598128477093e-06 1.6358891256808528     23  1202.6020386286039  1159.5178368686152   806.9709604852568    520.48158570598594   372.14655956506903   242.23537434714564   151.24459964258546    98.528381950804032   66.412770894658721    42.423883811537898    26.739379973189116     16.040784213893485    9.7223782218037211      4.9283679319660374     2.8090376403650525      1.6908006634295889      0.53386365757105803     0.43605757380868182    0.10945734129271111     0.060236151537777782    0.047012086011538438    -0.013279663566190177   0.029427104615478643    
4   1   3       20240213T035834.524575397Z 20240213T035838.000000000Z 1707796718.000000000 330116.7 6052726.9 21.2   20240213T035839.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.2 Y -0.00066284452251401339 -1562.4379194019123  3.2963064574105648e-05 4.3402884940175596e-06 -1.5074356863305769    23  -534.27235087093845 -553.43811036776037  -388.73024174875576  -248.2069457633221   -173.25398233370848  -109.41817227548562  -66.627966779909514   -45.368346288775449  -30.77825948534451    -18.779604655493017   -11.783841535885086    -7.609860948914462    -4.1748868006169575     -1.1544153671747781    -1.4524031731710152     -0.37568938182715889    -0.45710279379302904    -0.34306193616872427   -0.2507127491048996     -0.24644280792709544    0.015300990950381871    -0.023371263207926669   -0.028572268349728574   
4   1   3       20240213T035834.524575397Z 20240213T035838.000000000Z 1707796718.000000000 330116.7 6052726.9 21.2   20240213T035839.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.3 Z 0.0013662926729773584   -12378.279202316353  7.8653230120574364e-06 3.9802686949297614e-07 -1.5802010342550319    23  295.8372311994861   418.59294097006688   401.94146125607654   321.27566989646255   258.92048071064795   190.80865519999406   135.30367922624487    99.436625280011199   73.731452479933694    52.691874253967654    38.123429047596709     25.180271870378228    15.977804010855824      10.111099442185417     6.0330219668119165      3.4353563597515837      2.0056897518094314      1.0855429932548331     0.61121727459504493     0.32647155798024002     0.14680783041570802     0.083260506937782114    0.039796953128660183    
5   1   4       20240213T035834.524575397Z 20240213T035839.000000000Z 1707796719.000000000 330116.7 6052726.9 21.2   20240213T035840.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.1 X 0.0013193941676091683   3064.0155251896585   3.142207118355477e-05  1.3397271584373469e-06 -1.9514410711507648    23  1122.0126262532124  1086.5368886050071   753.64606483365105   482.87503359179709   345.25188646248455   224.70236699356124   138.50556180316238    90.957327572483194   61.682159493044374    38.862883575562677    24.92473700551259      14.89764131880092     9.019474171016542       4.4600246875023428     2.6639211927828836      1.5291110343318488      0.48630185056669273     0.31008976812462691    0.070235499923500283    -0.023773000185208473   0.065360015167964261    0.023325727735138132    -0.0082537059130593782  
5   1   4       20240213T035834.524575397Z 20240213T035839.000000000Z 1707796719.000000000 330116.7 6052726.9 21.2   20240213T035840.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.2 Y -0.00065292779403458524 -1892.9044440104622  3.5206701356828844e-05 2.9916475728134926e-06 1.3736505943314397     23  -698.39852075060935 -717.13912182221782  -500.17170482618678  -319.33537997798805  -223.82177393138704  -141.34036652257222  -84.786677106499582   -58.454188194846544  -39.738890611248422   -24.234821927922475   -15.586624474950804    -9.7470511306357253   -5.4231697838065074     -1.8672572764119666    -1.8631988992599611     -0.68507113128162722    -0.52960055084451885    -0.37027259180693445   -0.28996424693168998    -0.1690892258367494     -0.020847673937358844   -0.045204121318549881   -0.016278730388146732   
5   1   4       20240213T035834.524575397Z 20240213T035839.000000000Z 1707796719.000000000 330116.7 6052726.9 21.2   20240213T035840.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.3 Z 0.0013416190106458278   -12342.080641107996  7.7598529000206386e-06 4.4317141095771289e-07 1.5976845362083139     23  277.54628127069373  403.26735642123748   393.36409542452918   315.85626702085      255.02721356908907   188.46189253580076   133.24990994448581    97.997411638509647   72.810740657511744    51.908439816660326    37.578773858280741     24.795062339470334    15.651611057925516      9.9157023219809854     5.898924743978748       3.3841834443279075      1.9936257208586807      1.0999602470051997     0.57869623387768532     0.31832404439414858     0.15022642214738835     0.067279426543130516    0.043058468026636265    
6   1   5       20240213T035834.524575397Z 20240213T035840.000000000Z 1707796720.000000000 330116.7 6052726.9 21.2   20240213T035841.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.1 X 0.0010848053765838634   2890.3524551027253   2.131936586197993e-05  1.9044188832926386e-06 -1.6988282115467235    23  1073.3695582720907  1044.5335605179123   724.49560700657912   462.51306905777074   329.96096226741912   213.96136872170842   133.276027929734      87.106859681366416   59.364355393038984    37.976407580887141    24.757060696121034     14.785447720149191    8.3730939335575751      4.4306651607819258     2.9250360309929069      1.1026474067027643      0.76777226766048279     0.35565898146654473    0.15514352510245344     0.089794375283479597    0.049199641625350975    0.026257495744525475    0.0024770192831620168   
6   1   5       20240213T035834.524575397Z 20240213T035840.000000000Z 1707796720.000000000 330116.7 6052726.9 21.2   20240213T035841.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.2 Y -0.00032912565064972387 -2198.8320256995403  2.3479444132231802e-05 9.379856261772515e-07  1.2933284568714807     23  -797.37479058464066 -819.75262243583734  -569.40517986625537  -362.98008810864133  -254.14772068119959  -160.74831126201104  -98.905110744081554   -66.044698942375206  -44.803002850220892   -27.908473103654131   -17.744573686435231    -10.648786957309614   -6.205935868043408      -3.2126825711330667    -2.2312726331500841     -0.7219558448690343     -0.58772841868374459    -0.2635007399131738    -0.14435421202203322    -0.072452854806880004   -0.026195436293254409   -0.044627583493129369   -0.0046382768999192582  
6   1   5       20240213T035834.524575397Z 20240213T035840.000000000Z 1707796720.000000000 330116.7 6052726.9 21.2   20240213T035841.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.3 Z 0.0013605989851772724   -12420.987203942228  7.2327433146259603e-06 3.6858802402524378e-07 -1.6877787585846133    23  253.17015147904434  383.67098639761554   382.74049278080611   310.07086690790857   251.37612279872013   185.88818590382135   131.45972333690273    97.027725038762      71.893707683052256    51.337543582304349    37.055832810114964     24.443611875307845    15.487354414761173      9.8281956787922322     5.7591611970854935      3.4068699384601437      1.9173251000615819      1.0794485431751784     0.59698975139832544     0.31566154972028693     0.14894544617824121     0.066551761766169504    0.038938671175892177    
7   1   6       20240213T035834.524575397Z 20240213T035841.000000000Z 1707796721.000000000 330116.7 6052726.9 21.2   20240213T035842.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.1 X 0.0010339476216146195   2912.4070072779091   2.6363210460929427e-05 3.9435689454519016e-07 -1.4753212066565746    23  1066.7862977947336  1039.0773989491597   720.68575757414578   459.67174284512225   327.37271743879762   211.9786236856221    132.15613218150025    86.40607746690155    59.337749572227182    38.000528993692953    25.210310453689353     14.360297325145392    7.9122883268201099      4.4963141578997314     2.8640981699372579      1.2613482152239981      0.78097318021501771     0.31362375726389102    0.14684709245409042     0.10361463431731711     0.062083333421602167    0.079338892351211124    0.0077106819375231776   
7   1   6       20240213T035834.524575397Z 20240213T035841.000000000Z 1707796721.000000000 330116.7 6052726.9 21.2   20240213T035842.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.2 Y -0.00033479880133413411 -2200.8255894036224  3.3362474544724564e-05 2.1496004010263573e-06 -1.6144548932768175    23  -820.45604100381979 -841.55836007871449  -584.35902892843126  -373.11755922850477  -262.15270294951563  -166.11066785784305  -101.46921780999544   -67.316155975714139  -45.197103087022732   -29.709107829854414   -18.269265117342414    -10.888595797587376   -6.1570781082359431     -3.4210508160978681    -2.1165518774390932     -0.86539336081156037    -0.53965760927477879    -0.24000136750059073   -0.1479053184886942     -0.092027565532129998   0.001293497714830511    0.021846788756744031    0.002841550722559206    
7   1   6       20240213T035834.524575397Z 20240213T035841.000000000Z 1707796721.000000000 330116.7 6052726.9 21.2   20240213T035842.000000000Z 330115.4 6052722.0 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.3 Z 0.0013402672231756635   -12519.785152697175  8.1339546949807055e-06 9.251862970227278e-07  -1.5312507787822021    23  250.48947465321521  381.96340791487864   383.10137869843243   311.6104630993712    252.85014404221735   186.60125760003655   132.22200084593842    97.373704917400985   72.017320588229126    51.460662391906453    37.040197070588881     24.574173914439928    15.624018394700311      9.8972796195845589     5.8043017276258784      3.3921064546437498      1.9383393314084929      1.0922420802507236     0.60833978209717299     0.322348901368673       0.1486071074648467      0.083779465545181772    0.038325150587534211    
8   1   7       20240213T035834.524575397Z 20240213T035842.000000000Z 1707796722.000000000 330116.7 6052726.9 21.2   20240213T035843.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.1 X 0.00096640190519787931  3005.3906047014457   2.6156716495058411e-05 9.0730052254919792e-07 -1.4026228378697729    23  1057.1284917549915  1029.28545623425     713.58972746517986   456.23807742611797   326.33507611440257   211.49881460339074   130.48998516828016    85.842758658030704   58.016952323986573    36.843161898708203    24.644741001394411     14.279161342995367    7.8130861045881517      4.6976094684718142     2.5036125611950268      1.4049248059307335      0.71953642321166467     0.34498530056150117    0.14770449692436424     0.078061588272871629    0.054926941954433532    0.080475287263676989    0.017886832639082521    
8   1   7       20240213T035834.524575397Z 20240213T035842.000000000Z 1707796722.000000000 330116.7 6052726.9 21.2   20240213T035843.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.2 Y -0.00019689504626807766 -2085.3362227152852  3.6306955047587585e-05 4.0348348512552883e-06 1.6059034007047281     23  -851.5247322879909  -870.64301687139664  -606.09473376487961  -387.11385839674654  -271.96436014706001  -174.85326734824872  -106.47121438066321   -69.940375378814636  -47.08739017095445    -31.109093154065405   -19.32859834595321     -11.865710869000859   -6.7146613050404973     -4.0348588484803187    -1.877236120535513      -1.1928848580865925     -0.53515579344436892    -0.28385617404251612   -0.17978560803445262    -0.07850045580424618    -0.004737340990576577   0.031056886762234011    -0.016499233111651825   
8   1   7       20240213T035834.524575397Z 20240213T035842.000000000Z 1707796722.000000000 330116.7 6052726.9 21.2   20240213T035843.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.8 20.8      330118.2 6052731.9 21.7      1.3 Z 0.0013793077841664698   -12678.57139075805   7.2788062582407176e-06 1.1747000628351588e-06 1.4750248749858474     23  242.14450966515335  373.83946584459909   378.13013342414462   308.74897400665685   250.70088414229258   185.35853998881203   131.98876575071344    96.663465853388175   71.874246836763575    51.416427808781549    37.007196260403717     24.486724855921022    15.615035879776453      9.8580694942581921     5.8106603251067188      3.3499493270588432      1.9316280586807471      1.0634029024556375     0.59042512370903055     0.30898493798649079     0.15257983268821768     0.090703598671830102    0.044699359225767989    
9   1   8       20240213T035834.524575397Z 20240213T035843.000000000Z 1707796723.000000000 330116.7 6052726.9 21.3   20240213T035844.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.9 20.8      330118.2 6052731.9 21.7      1.1 X 0.0010359748933879971   3526.8101102256787   2.6760877729291153e-05 5.8272773238887638e-07 1.2195378250800011     23  1102.6644594410657  1068.1384285926663   739.80648947096483   474.02520619843915   339.20720130551945   219.15033509555539   136.19075081006034    88.268780276021758   59.075092300387254    37.889098623104935    25.130605658396263     14.709514656588793    8.182911797012741       4.7958812543304274     2.5023908985066607      1.4253817241808435      0.82873765184624537     0.39272287053675192    0.18162767763222218     0.081505847202128598    0.027320088515593539    0.029491947073319463    0.022931973356455349    
9   1   8       20240213T035834.524575397Z 20240213T035843.000000000Z 1707796723.000000000 330116.7 6052726.9 21.3   20240213T035844.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.9 20.8      330118.2 6052731.9 21.7      1.2 Y 0.00017353189196367362  -1893.1585358205989  2.3084901766947021e-05 9.9887817979910594e-07 1.5370869992059084     23  -758.71186915237547 -777.42530727694907  -544.08989975747306  -348.78761711698223  -244.57569515599695  -156.46743003937283  -96.756832870570037   -63.721867485635293  -43.213407964785702   -27.852136385722535   -18.077018115828665    -10.817264243889152   -6.093999631985545      -3.6920401868895767    -1.7829939868873674     -1.1325449803766352     -0.59276831481487413    -0.31432198240378462   -0.13788779496582584    -0.077655154499139678   -0.042667324711648261   -0.041425238134574688   -0.019224071387329011   
9   1   8       20240213T035834.524575397Z 20240213T035843.000000000Z 1707796723.000000000 330116.7 6052726.9 21.3   20240213T035844.000000000Z 330115.4 6052722.1 22.0       330115.3 6052721.9 20.8      330118.2 6052731.9 21.7      1.3 Z 0.0015481062036914429   -12495.514163756568  7.6864898902149104e-06 7.5369686848468607e-07 1.5307592920954727     23  253.90117407325968  383.69347221098946   383.57770751111747   311.77341033278691   252.5826187324941    186.9087681820896    132.61319007316192    97.437965718030014   72.536303584230751    51.832418389102195    37.342108525672209     24.769315635303997    15.715485002413965      9.9332651096432958     5.8514854155345377      3.3901459048122464      1.9239128106168994      1.0703914406870714     0.57305818202682313     0.32543665825413226     0.15541749535857904     0.082554316020569313    0.040100987829730615    
10  1   9       20240213T035834.524575397Z 20240213T035844.000000000Z 1707796724.000000000 330116.7 6052726.8 21.3   20240213T035845.000000000Z 330115.4 6052722.2 22.0       330115.3 6052721.9 20.9      330118.2 6052731.8 21.7      1.1 X 0.001180669533529294    3850.478050385193    2.5976982858137505e-05 1.8333813647057144e-06 -1.5725599680411624    23  1116.4252523680741  1077.6349340742418   743.97958461551627   475.03795508391136   338.37987173959442   219.33450106357756   136.02300974560785    88.645614222915654   58.865854672511013    38.089186073152511    24.643908433053532     14.269267082351302    8.1405063101482877      4.5965721025974178     2.5669953972507495      1.374081830596112       0.82678268309030856     0.36513459526505293    0.17859027085254861     0.10399839954635566     0.029807612599425482    -0.019509350498991315   0.041539421796114549    
10  1   9       20240213T035834.524575397Z 20240213T035844.000000000Z 1707796724.000000000 330116.7 6052726.8 21.3   20240213T035845.000000000Z 330115.4 6052722.2 22.0       330115.3 6052721.9 20.9      330118.2 6052731.8 21.7      1.2 Y -0.00010276775501940893 -1758.0656648611848  2.0748660560552554e-05 2.1061765602863105e-07 1.0495865662779571     23  -709.01422830861065 -722.54403270868863  -506.34500924240029  -326.05694087959444  -229.60025130297038  -146.89841589500895  -90.744170177471275   -59.911012624823286  -40.243711230707937   -26.009000716202305   -17.088122385629482    -9.7742487541179663   -5.6011997433513576     -3.0702515439334248    -1.9483257421636067     -0.86245912687966952    -0.61490465025664465    -0.26474687494570931   -0.15789437467060419    -0.017498125781154571   -0.07730383096755146    -0.034526135438312747   -0.032772348821999697   
10  1   9       20240213T035834.524575397Z 20240213T035844.000000000Z 1707796724.000000000 330116.7 6052726.8 21.3   20240213T035845.000000000Z 330115.4 6052722.2 22.0       330115.3 6052721.9 20.9      330118.2 6052731.8 21.7      1.3 Z 0.0015024540975815729   -12214.420967409276  7.1192114893213296e-06 4.3122775677703699e-07 -1.7082240763479994    23  297.93769133493845  427.79817870553637   411.72114176582784   327.77704786300347   263.6207606414489    193.93155749432543   136.75216833951055    100.34133030096338   74.586840924030497    53.075467089419703    38.22229663228724      25.335925540513983    15.992138037378089      10.100693572460717     5.9454416521508184      3.452366592951118       1.9765635158160055      1.0958585113658152     0.59149885786594625     0.33840473720896536     0.16936621209884478     0.081759997236661122    0.039587161766948709    
11  1   10      20240213T035834.524575397Z 20240213T035845.000000000Z 1707796725.000000000 330116.7 6052726.8 21.3   20240213T035846.000000000Z 330115.3 6052722.2 22.0       330115.3 6052721.9 20.9      330118.2 6052731.8 21.7      1.1 X 0.00072393520199641643  3630.194610991623    2.2901470396705809e-05 4.6499714813127692e-06 -1.5728735600916026    23  1103.7891814195491  1067.9848970174232   736.65392607266415   469.32992109129611   334.334868687511     217.24236340008829   135.0668141362311     87.15921028634493    58.299772400555696    38.683300692982556    24.319044501440136     14.319805744406466    7.6477106809897606      5.0069419076054063     2.2145087777577324      1.4696127800730348      0.66963646869608084     0.27796813979542473    0.16579035713481474     0.093848269681524946    0.064328324918114438    0.010292495150168994    0.031542802341551032    
11  1   10      20240213T035834.524575397Z 20240213T035845.000000000Z 1707796725.000000000 330116.7 6052726.8 21.3   20240213T035846.000000000Z 330115.3 6052722.2 22.0       330115.3 6052721.9 20.9      330118.2 6052731.8 21.7      1.2 Y 7.8360325603256165e-05  -2075.2639954447254  1.6449226657458781e-05 1.6764088637961193e-06 -1.6896145625885031    23  -727.08373349688497 -747.39225811369681  -520.50052614252411  -332.42193879102888  -232.35511376207398  -147.78020357622611  -90.529714674654031   -59.725084416933662  -40.641757259097666   -25.853723897515845   -16.597872314946954    -9.3192725224673012   -5.482008691999571      -3.2511882957274976    -1.6780919749649585     -0.78395792197044467    -0.39531110401589875    -0.31905304618137348   -0.15032273903967414    -0.056238843175308528   -0.06237565174351907    -0.033742648717393853   -0.015188364319588249   
