Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 11:49:46 AM (UTC+1030),6278112.207,494275.065,97.528,1.685
27/01/2026 11:49:47 AM (UTC+1030),6278112.207,494275.065,97.523,1.685
27/01/2026 11:49:48 AM (UTC+1030),6278112.225,494275.076,97.533,1.692
27/01/2026 11:49:49 AM (UTC+1030),6278112.224,494275.075,97.537,1.692
27/01/2026 11:49:50 AM (UTC+1030),6278112.236,494275.068,97.526,1.715
27/01/2026 11:49:51 AM (UTC+1030),6278112.232,494275.066,97.525,1.715
27/01/2026 11:49:52 AM (UTC+1030),6278112.234,494275.066,97.526,1.748
27/01/2026 11:49:53 AM (UTC+1030),6278112.234,494275.065,97.531,1.748
27/01/2026 11:49:54 AM (UTC+1030),6278112.202,494275.059,97.547,1.723
27/01/2026 11:49:55 AM (UTC+1030),6278112.203,494275.061,97.545,1.723
27/01/2026 11:49:56 AM (UTC+1030),6278112.206,494275.066,97.559,1.746
27/01/2026 11:49:57 AM (UTC+1030),6278112.21,494275.064,97.564,1.746
27/01/2026 11:49:58 AM (UTC+1030),6278112.208,494275.068,97.554,1.746
27/01/2026 11:49:59 AM (UTC+1030),6278112.244,494275.071,97.543,1.775
27/01/2026 11:50:00 AM (UTC+1030),6278112.245,494275.071,97.547,1.775
27/01/2026 11:50:01 AM (UTC+1030),6278112.247,494275.072,97.544,1.775
27/01/2026 11:50:02 AM (UTC+1030),6278112.253,494275.068,97.483,1.732
27/01/2026 11:50:03 AM (UTC+1030),6278112.251,494275.068,97.481,1.732
27/01/2026 11:50:04 AM (UTC+1030),6278112.259,494275.061,97.448,1.682
27/01/2026 11:50:05 AM (UTC+1030),6278112.22,494275.077,97.477,1.616
27/01/2026 11:50:06 AM (UTC+1030),6278112.222,494275.074,97.483,1.616
27/01/2026 11:50:07 AM (UTC+1030),6278112.22,494275.077,97.48,1.616
27/01/2026 11:50:08 AM (UTC+1030),6278112.191,494275.085,97.466,1.475
27/01/2026 11:50:09 AM (UTC+1030),6278112.191,494275.086,97.466,1.475
27/01/2026 11:50:10 AM (UTC+1030),6278112.2,494275.09,97.464,1.537
27/01/2026 11:50:11 AM (UTC+1030),6278112.203,494275.088,97.464,1.537
27/01/2026 11:50:12 AM (UTC+1030),6278112.181,494275.101,97.471,1.455
27/01/2026 11:50:13 AM (UTC+1030),6278112.197,494275.096,97.486,1.507
27/01/2026 11:50:14 AM (UTC+1030),6278112.196,494275.095,97.479,1.507
27/01/2026 11:50:15 AM (UTC+1030),6278112.193,494275.098,97.48,1.507
27/01/2026 11:50:16 AM (UTC+1030),6278112.145,494275.123,97.515,1.366
27/01/2026 11:50:17 AM (UTC+1030),6278112.141,494275.119,97.513,1.366
27/01/2026 11:50:18 AM (UTC+1030),6278112.169,494275.107,97.502,1.454
27/01/2026 11:50:19 AM (UTC+1030),6278112.171,494275.106,97.502,1.454
27/01/2026 11:50:20 AM (UTC+1030),6278112.19,494275.091,97.456,1.429
27/01/2026 11:50:21 AM (UTC+1030),6278112.187,494275.097,97.472,1.418
27/01/2026 11:50:22 AM (UTC+1030),6278112.186,494275.098,97.469,1.418
27/01/2026 11:50:23 AM (UTC+1030),6278112.188,494275.099,97.473,1.418
27/01/2026 11:50:24 AM (UTC+1030),6278112.186,494275.097,97.47,1.418
27/01/2026 11:50:25 AM (UTC+1030),6278112.203,494275.093,97.446,1.418
27/01/2026 11:50:26 AM (UTC+1030),6278112.153,494275.102,97.473,1.285
27/01/2026 11:50:27 AM (UTC+1030),6278112.152,494275.114,97.471,1.292
27/01/2026 11:50:28 AM (UTC+1030),6278112.148,494275.111,97.474,1.292
27/01/2026 11:50:29 AM (UTC+1030),6278112.147,494275.117,97.471,1.292
27/01/2026 11:50:30 AM (UTC+1030),6278112.154,494275.113,97.476,1.292
27/01/2026 11:50:31 AM (UTC+1030),6278112.15,494275.111,97.48,1.292
27/01/2026 11:50:32 AM (UTC+1030),6278112.138,494275.112,97.475,1.252
27/01/2026 11:50:33 AM (UTC+1030),6278112.137,494275.109,97.472,1.252
27/01/2026 11:50:34 AM (UTC+1030),6278112.141,494275.116,97.494,1.295
27/01/2026 11:50:35 AM (UTC+1030),6278112.141,494275.12,97.492,1.295
27/01/2026 11:50:36 AM (UTC+1030),6278112.133,494275.127,97.514,1.28
27/01/2026 11:50:37 AM (UTC+1030),6278112.133,494275.125,97.517,1.28
27/01/2026 11:50:38 AM (UTC+1030),6278112.136,494275.128,97.5,1.265
27/01/2026 11:50:39 AM (UTC+1030),6278112.136,494275.126,97.511,1.265
