Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 12:20:04 PM (UTC+1030),6277920.241,493476.354,74.031,0.112
27/01/2026 12:20:05 PM (UTC+1030),6277920.16,493475.604,73.974,0.11
27/01/2026 12:20:06 PM (UTC+1030),6277920.076,493474.877,73.975,0.112
27/01/2026 12:20:07 PM (UTC+1030),6277920.087,493474.069,73.939,0.114
27/01/2026 12:20:08 PM (UTC+1030),6277920.116,493473.278,73.915,0.114
27/01/2026 12:20:09 PM (UTC+1030),6277920.093,493472.527,73.931,0.113
27/01/2026 12:20:10 PM (UTC+1030),6277919.959,493471.763,73.902,0.11
27/01/2026 12:20:11 PM (UTC+1030),6277919.916,493471.034,73.907,0.111
27/01/2026 12:20:12 PM (UTC+1030),6277919.907,493470.214,73.888,0.11
27/01/2026 12:20:13 PM (UTC+1030),6277919.97,493469.442,73.832,0.11
27/01/2026 12:20:14 PM (UTC+1030),6277920.086,493468.627,73.825,0.106
27/01/2026 12:20:15 PM (UTC+1030),6277920.231,493467.799,73.795,0.106
27/01/2026 12:20:16 PM (UTC+1030),6277920.328,493466.945,73.769,0.108
27/01/2026 12:20:17 PM (UTC+1030),6277920.406,493466.065,73.765,0.108
27/01/2026 12:20:18 PM (UTC+1030),6277920.502,493465.184,73.722,0.108
27/01/2026 12:20:19 PM (UTC+1030),6277920.615,493464.328,73.684,0.108
27/01/2026 12:20:20 PM (UTC+1030),6277920.669,493463.498,73.686,0.108
27/01/2026 12:20:21 PM (UTC+1030),6277920.828,493462.664,73.629,0.106
27/01/2026 12:20:22 PM (UTC+1030),6277920.911,493461.781,73.626,0.104
27/01/2026 12:20:23 PM (UTC+1030),6277921.046,493460.942,73.581,0.106
27/01/2026 12:20:24 PM (UTC+1030),6277921.125,493460.034,73.54,0.106
27/01/2026 12:20:25 PM (UTC+1030),6277921.111,493459.147,73.546,0.103
27/01/2026 12:20:26 PM (UTC+1030),6277921.176,493458.251,73.522,0.104
27/01/2026 12:20:27 PM (UTC+1030),6277921.196,493457.348,73.477,0.103
27/01/2026 12:20:28 PM (UTC+1030),6277921.141,493456.473,73.471,0.103
27/01/2026 12:20:29 PM (UTC+1030),6277921.107,493455.562,73.449,0.103
27/01/2026 12:20:30 PM (UTC+1030),6277921.217,493454.699,73.42,0.101
27/01/2026 12:20:31 PM (UTC+1030),6277921.26,493453.763,73.363,0.103
27/01/2026 12:20:32 PM (UTC+1030),6277921.266,493452.855,73.375,0.103
27/01/2026 12:20:33 PM (UTC+1030),6277921.259,493451.962,73.357,0.103
27/01/2026 12:20:34 PM (UTC+1030),6277921.2,493451.047,73.3,0.103
27/01/2026 12:20:35 PM (UTC+1030),6277921.12,493450.103,73.295,0.101
27/01/2026 12:20:36 PM (UTC+1030),6277920.904,493449.239,73.293,0.103
27/01/2026 12:20:37 PM (UTC+1030),6277920.693,493448.379,73.264,0.103
27/01/2026 12:20:38 PM (UTC+1030),6277920.613,493447.483,73.201,0.103
27/01/2026 12:20:39 PM (UTC+1030),6277920.477,493446.613,73.204,0.103
27/01/2026 12:20:40 PM (UTC+1030),6277920.316,493445.739,73.201,0.101
27/01/2026 12:20:41 PM (UTC+1030),6277920.061,493444.857,73.153,0.103
27/01/2026 12:20:42 PM (UTC+1030),6277919.621,493444.08,73.126,0.103
27/01/2026 12:20:43 PM (UTC+1030),6277919.289,493443.343,73.119,0.103
27/01/2026 12:20:44 PM (UTC+1030),6277919.076,493442.547,73.115,0.103
27/01/2026 12:20:45 PM (UTC+1030),6277918.893,493441.828,73.049,0.101
27/01/2026 12:20:46 PM (UTC+1030),6277918.622,493441.032,73.05,0.103
27/01/2026 12:20:47 PM (UTC+1030),6277918.314,493440.252,73.034,0.103
27/01/2026 12:20:48 PM (UTC+1030),6277917.961,493439.467,72.98,0.103
27/01/2026 12:20:49 PM (UTC+1030),6277917.586,493438.673,72.99,0.099
27/01/2026 12:20:50 PM (UTC+1030),6277917.251,493437.908,72.978,0.101
27/01/2026 12:20:51 PM (UTC+1030),6277916.868,493437.135,72.934,0.101
27/01/2026 12:20:52 PM (UTC+1030),6277916.526,493436.37,72.899,0.101
27/01/2026 12:20:53 PM (UTC+1030),6277916.065,493435.607,72.906,0.103
27/01/2026 12:20:54 PM (UTC+1030),6277915.493,493434.821,72.864,0.104
27/01/2026 12:20:55 PM (UTC+1030),6277914.872,493434.17,72.829,0.103
27/01/2026 12:20:56 PM (UTC+1030),6277914.256,493433.569,72.83,0.104
27/01/2026 12:20:57 PM (UTC+1030),6277913.651,493432.875,72.794,0.104
27/01/2026 12:20:58 PM (UTC+1030),6277913.003,493432.237,72.737,0.104
27/01/2026 12:20:59 PM (UTC+1030),6277912.371,493431.597,72.703,0.103
27/01/2026 12:21:00 PM (UTC+1030),6277911.721,493431.035,72.721,0.103
27/01/2026 12:21:01 PM (UTC+1030),6277910.991,493430.612,72.729,0.104
27/01/2026 12:21:02 PM (UTC+1030),6277910.351,493430.09,72.7,0.104
27/01/2026 12:21:03 PM (UTC+1030),6277909.605,493429.598,72.677,0.104
27/01/2026 12:21:04 PM (UTC+1030),6277908.825,493429.195,72.692,0.103
27/01/2026 12:21:05 PM (UTC+1030),6277908.038,493428.812,72.694,0.104
27/01/2026 12:21:06 PM (UTC+1030),6277907.291,493428.457,72.646,0.104
27/01/2026 12:21:07 PM (UTC+1030),6277906.549,493428.167,72.684,0.106
27/01/2026 12:21:08 PM (UTC+1030),6277905.847,493427.814,72.672,0.106
27/01/2026 12:21:09 PM (UTC+1030),6277905.162,493427.405,72.639,0.104
27/01/2026 12:21:10 PM (UTC+1030),6277904.5,493427.096,72.645,0.104
27/01/2026 12:21:11 PM (UTC+1030),6277903.87,493426.716,72.615,0.106
27/01/2026 12:21:12 PM (UTC+1030),6277903.264,493426.343,72.649,0.106
27/01/2026 12:21:13 PM (UTC+1030),6277902.52,493426.165,72.627,0.106
27/01/2026 12:21:14 PM (UTC+1030),6277901.795,493425.884,72.66,0.106
27/01/2026 12:21:15 PM (UTC+1030),6277901.015,493425.558,72.623,0.104
27/01/2026 12:21:16 PM (UTC+1030),6277900.349,493425.263,72.634,0.104
27/01/2026 12:21:17 PM (UTC+1030),6277899.533,493425.086,72.611,0.104
27/01/2026 12:21:18 PM (UTC+1030),6277898.757,493424.88,72.638,0.104
27/01/2026 12:21:19 PM (UTC+1030),6277898.023,493424.539,72.592,0.103
27/01/2026 12:21:20 PM (UTC+1030),6277897.219,493424.267,72.61,0.103
27/01/2026 12:21:21 PM (UTC+1030),6277896.376,493424.083,72.599,0.103
27/01/2026 12:21:22 PM (UTC+1030),6277895.557,493423.885,72.619,0.103
27/01/2026 12:21:23 PM (UTC+1030),6277894.757,493423.641,72.606,0.103
27/01/2026 12:21:24 PM (UTC+1030),6277894,493423.367,72.615,0.103
27/01/2026 12:21:25 PM (UTC+1030),6277893.179,493423.188,72.598,0.103
27/01/2026 12:21:26 PM (UTC+1030),6277892.378,493422.97,72.648,0.104
27/01/2026 12:21:27 PM (UTC+1030),6277891.567,493422.609,72.601,0.102
27/01/2026 12:21:28 PM (UTC+1030),6277890.748,493422.333,72.666,0.104
27/01/2026 12:21:29 PM (UTC+1030),6277889.906,493422.169,72.649,0.104
27/01/2026 12:21:30 PM (UTC+1030),6277889.064,493421.989,72.699,0.1
27/01/2026 12:21:31 PM (UTC+1030),6277888.236,493421.702,72.671,0.102
27/01/2026 12:21:32 PM (UTC+1030),6277887.461,493421.451,72.687,0.103
27/01/2026 12:21:33 PM (UTC+1030),6277886.751,493421.37,72.677,0.103
27/01/2026 12:21:34 PM (UTC+1030),6277886.037,493421.203,72.701,0.105
27/01/2026 12:21:35 PM (UTC+1030),6277885.292,493420.955,72.685,0.105
27/01/2026 12:21:36 PM (UTC+1030),6277884.598,493420.638,72.698,0.105
27/01/2026 12:21:37 PM (UTC+1030),6277883.868,493420.379,72.702,0.105
27/01/2026 12:21:38 PM (UTC+1030),6277883.04,493420.241,72.722,0.105
27/01/2026 12:21:39 PM (UTC+1030),6277882.228,493420.035,72.75,0.105
27/01/2026 12:21:40 PM (UTC+1030),6277881.448,493419.768,72.749,0.103
27/01/2026 12:21:41 PM (UTC+1030),6277880.683,493419.455,72.745,0.105
27/01/2026 12:21:42 PM (UTC+1030),6277879.91,493419.263,72.772,0.105
27/01/2026 12:21:43 PM (UTC+1030),6277879.077,493419.052,72.762,0.105
27/01/2026 12:21:44 PM (UTC+1030),6277878.19,493418.89,72.791,0.105
27/01/2026 12:21:45 PM (UTC+1030),6277877.46,493418.719,72.836,0.103
27/01/2026 12:21:46 PM (UTC+1030),6277876.786,493418.28,72.807,0.105
27/01/2026 12:21:47 PM (UTC+1030),6277876.03,493418.021,72.862,0.105
27/01/2026 12:21:48 PM (UTC+1030),6277875.302,493417.683,72.864,0.104
27/01/2026 12:21:49 PM (UTC+1030),6277874.534,493417.387,72.869,0.103
27/01/2026 12:21:50 PM (UTC+1030),6277873.745,493417.02,72.889,0.102
27/01/2026 12:21:51 PM (UTC+1030),6277873.057,493416.563,72.86,0.103
27/01/2026 12:21:52 PM (UTC+1030),6277872.407,493416.035,72.903,0.102
27/01/2026 12:21:53 PM (UTC+1030),6277871.755,493415.525,72.919,0.103
27/01/2026 12:21:54 PM (UTC+1030),6277871.027,493414.994,72.918,0.103
27/01/2026 12:21:55 PM (UTC+1030),6277870.384,493414.413,72.951,0.102
27/01/2026 12:21:56 PM (UTC+1030),6277869.877,493413.71,72.945,0.103
27/01/2026 12:21:57 PM (UTC+1030),6277869.392,493413.048,72.952,0.103
27/01/2026 12:21:58 PM (UTC+1030),6277868.917,493412.326,73.016,0.103
27/01/2026 12:21:59 PM (UTC+1030),6277868.463,493411.657,73.027,0.103
27/01/2026 12:22:00 PM (UTC+1030),6277868.113,493410.94,73.019,0.104
27/01/2026 12:22:01 PM (UTC+1030),6277867.784,493410.268,73.054,0.103
27/01/2026 12:22:02 PM (UTC+1030),6277867.471,493409.661,73.06,0.103
27/01/2026 12:22:03 PM (UTC+1030),6277867.307,493408.945,73.083,0.104
27/01/2026 12:22:04 PM (UTC+1030),6277867.149,493408.206,73.105,0.104
27/01/2026 12:22:05 PM (UTC+1030),6277867.082,493407.452,73.128,0.104
27/01/2026 12:22:06 PM (UTC+1030),6277866.992,493406.679,73.123,0.106
27/01/2026 12:22:07 PM (UTC+1030),6277867.007,493405.88,73.147,0.106
27/01/2026 12:22:08 PM (UTC+1030),6277867.04,493405.026,73.122,0.106
27/01/2026 12:22:09 PM (UTC+1030),6277867.118,493404.198,73.079,0.104
27/01/2026 12:22:10 PM (UTC+1030),6277867.22,493403.403,73.059,0.104
27/01/2026 12:22:11 PM (UTC+1030),6277867.307,493402.537,72.989,0.104
27/01/2026 12:22:12 PM (UTC+1030),6277867.493,493401.646,72.992,0.104
27/01/2026 12:22:13 PM (UTC+1030),6277867.801,493400.86,72.912,0.104
27/01/2026 12:22:14 PM (UTC+1030),6277868.032,493399.908,72.956,0.103
27/01/2026 12:22:15 PM (UTC+1030),6277868.239,493399.174,72.882,0.103
27/01/2026 12:22:16 PM (UTC+1030),6277868.38,493398.274,72.856,0.102
27/01/2026 12:22:17 PM (UTC+1030),6277868.518,493397.434,72.848,0.102
27/01/2026 12:22:18 PM (UTC+1030),6277868.697,493396.582,72.777,0.1
27/01/2026 12:22:19 PM (UTC+1030),6277868.998,493395.72,72.69,0.1
27/01/2026 12:22:20 PM (UTC+1030),6277869.355,493394.984,72.672,0.101
27/01/2026 12:22:21 PM (UTC+1030),6277869.544,493394.142,72.604,0.102
27/01/2026 12:22:22 PM (UTC+1030),6277869.671,493393.339,72.592,0.101
27/01/2026 12:22:23 PM (UTC+1030),6277870.015,493392.615,72.528,0.103
27/01/2026 12:22:24 PM (UTC+1030),6277870.317,493391.841,72.508,0.101
27/01/2026 12:22:25 PM (UTC+1030),6277870.467,493391.016,72.472,0.1
27/01/2026 12:22:26 PM (UTC+1030),6277870.665,493390.187,72.438,0.101
27/01/2026 12:22:27 PM (UTC+1030),6277870.951,493389.452,72.376,0.101
27/01/2026 12:22:28 PM (UTC+1030),6277871.04,493388.692,72.361,0.101
27/01/2026 12:22:29 PM (UTC+1030),6277871.236,493387.874,72.34,0.101
27/01/2026 12:22:30 PM (UTC+1030),6277871.497,493387.084,72.357,0.101
27/01/2026 12:22:31 PM (UTC+1030),6277871.808,493386.291,72.316,0.103
27/01/2026 12:22:32 PM (UTC+1030),6277872.185,493385.494,72.261,0.103
27/01/2026 12:22:33 PM (UTC+1030),6277872.546,493384.714,72.255,0.103
27/01/2026 12:22:34 PM (UTC+1030),6277872.819,493383.861,72.235,0.103
27/01/2026 12:22:35 PM (UTC+1030),6277873.014,493382.991,72.225,0.103
27/01/2026 12:22:36 PM (UTC+1030),6277873.333,493382.18,72.23,0.104
27/01/2026 12:22:37 PM (UTC+1030),6277873.708,493381.416,72.179,0.104
27/01/2026 12:22:38 PM (UTC+1030),6277874.078,493380.597,72.166,0.103
27/01/2026 12:22:39 PM (UTC+1030),6277874.372,493379.751,72.116,0.103
27/01/2026 12:22:40 PM (UTC+1030),6277874.598,493378.902,72.086,0.101
27/01/2026 12:22:41 PM (UTC+1030),6277874.922,493378.137,72.031,0.103
27/01/2026 12:22:42 PM (UTC+1030),6277875.358,493377.397,71.982,0.101
27/01/2026 12:22:43 PM (UTC+1030),6277875.646,493376.616,71.935,0.101
27/01/2026 12:22:44 PM (UTC+1030),6277875.799,493375.757,71.918,0.101
27/01/2026 12:22:45 PM (UTC+1030),6277876.04,493374.96,71.898,0.101
27/01/2026 12:22:46 PM (UTC+1030),6277876.396,493374.226,71.844,0.103
27/01/2026 12:22:47 PM (UTC+1030),6277876.583,493373.42,71.828,0.103
27/01/2026 12:22:48 PM (UTC+1030),6277876.843,493372.602,71.792,0.101
27/01/2026 12:22:49 PM (UTC+1030),6277877.194,493371.841,71.78,0.101
27/01/2026 12:22:50 PM (UTC+1030),6277877.52,493371.015,71.706,0.099
27/01/2026 12:22:51 PM (UTC+1030),6277877.973,493370.269,71.723,0.101
27/01/2026 12:22:52 PM (UTC+1030),6277878.492,493369.544,71.69,0.101
27/01/2026 12:22:53 PM (UTC+1030),6277879.04,493368.739,71.624,0.101
27/01/2026 12:22:54 PM (UTC+1030),6277879.571,493367.921,71.615,0.101
27/01/2026 12:22:55 PM (UTC+1030),6277880.06,493367.11,71.599,0.103
27/01/2026 12:22:56 PM (UTC+1030),6277880.617,493366.358,71.52,0.103
27/01/2026 12:22:57 PM (UTC+1030),6277881.187,493365.509,71.536,0.103
27/01/2026 12:22:58 PM (UTC+1030),6277881.617,493364.722,71.478,0.103
27/01/2026 12:22:59 PM (UTC+1030),6277882.01,493363.824,71.469,0.103
27/01/2026 12:23:00 PM (UTC+1030),6277882.59,493363.047,71.448,0.101
27/01/2026 12:23:01 PM (UTC+1030),6277883.245,493362.318,71.393,0.101
27/01/2026 12:23:02 PM (UTC+1030),6277883.81,493361.562,71.413,0.1
27/01/2026 12:23:03 PM (UTC+1030),6277884.424,493360.846,71.389,0.099
27/01/2026 12:23:04 PM (UTC+1030),6277884.854,493360.018,71.374,0.099
27/01/2026 12:23:05 PM (UTC+1030),6277885.291,493359.189,71.347,0.099
27/01/2026 12:23:06 PM (UTC+1030),6277885.841,493358.389,71.298,0.099
27/01/2026 12:23:07 PM (UTC+1030),6277886.413,493357.749,71.285,0.099
27/01/2026 12:23:08 PM (UTC+1030),6277886.885,493357.078,71.255,0.098
27/01/2026 12:23:09 PM (UTC+1030),6277887.062,493356.228,71.26,0.099
27/01/2026 12:23:10 PM (UTC+1030),6277887.222,493355.379,71.233,0.098
27/01/2026 12:23:11 PM (UTC+1030),6277887.567,493354.594,71.169,0.099
27/01/2026 12:23:12 PM (UTC+1030),6277887.859,493353.776,71.155,0.098
27/01/2026 12:23:13 PM (UTC+1030),6277888.101,493352.938,71.073,0.098
27/01/2026 12:23:14 PM (UTC+1030),6277888.374,493352.014,71.078,0.098
27/01/2026 12:23:15 PM (UTC+1030),6277888.582,493351.177,71.08,0.098
27/01/2026 12:23:16 PM (UTC+1030),6277888.937,493350.422,70.98,0.099
27/01/2026 12:23:17 PM (UTC+1030),6277889.276,493349.576,71.006,0.099
27/01/2026 12:23:18 PM (UTC+1030),6277889.478,493348.694,70.967,0.099
27/01/2026 12:23:19 PM (UTC+1030),6277889.627,493347.883,70.933,0.099
27/01/2026 12:23:20 PM (UTC+1030),6277889.896,493347.122,70.914,0.099
27/01/2026 12:23:21 PM (UTC+1030),6277890.269,493346.468,70.887,0.101
27/01/2026 12:23:22 PM (UTC+1030),6277890.438,493345.685,70.843,0.099
27/01/2026 12:23:23 PM (UTC+1030),6277890.636,493344.937,70.833,0.099
27/01/2026 12:23:24 PM (UTC+1030),6277891.06,493344.278,70.787,0.103
27/01/2026 12:23:25 PM (UTC+1030),6277891.403,493343.509,70.743,0.098
27/01/2026 12:23:26 PM (UTC+1030),6277891.599,493342.646,70.722,0.099
27/01/2026 12:23:27 PM (UTC+1030),6277891.788,493341.751,70.641,0.102
27/01/2026 12:23:28 PM (UTC+1030),6277891.913,493340.909,70.639,0.102
27/01/2026 12:23:29 PM (UTC+1030),6277892.14,493340.086,70.593,0.102
27/01/2026 12:23:30 PM (UTC+1030),6277892.482,493339.329,70.519,0.1
27/01/2026 12:23:31 PM (UTC+1030),6277892.772,493338.526,70.503,0.099
27/01/2026 12:23:32 PM (UTC+1030),6277892.985,493337.698,70.446,0.099
27/01/2026 12:23:33 PM (UTC+1030),6277893.028,493336.905,70.449,0.099
27/01/2026 12:23:34 PM (UTC+1030),6277893.209,493336.025,70.388,0.098
27/01/2026 12:23:35 PM (UTC+1030),6277893.487,493335.254,70.393,0.098
27/01/2026 12:23:36 PM (UTC+1030),6277893.654,493334.502,70.336,0.098
27/01/2026 12:23:37 PM (UTC+1030),6277893.871,493333.612,70.304,0.098
27/01/2026 12:23:38 PM (UTC+1030),6277894.031,493332.789,70.283,0.098
27/01/2026 12:23:39 PM (UTC+1030),6277894.187,493331.97,70.251,0.098
27/01/2026 12:23:40 PM (UTC+1030),6277894.423,493331.132,70.21,0.096
27/01/2026 12:23:41 PM (UTC+1030),6277894.623,493330.235,70.179,0.098
27/01/2026 12:23:42 PM (UTC+1030),6277894.72,493329.277,70.099,0.099
27/01/2026 12:23:43 PM (UTC+1030),6277894.745,493328.379,70.11,0.099
27/01/2026 12:23:44 PM (UTC+1030),6277894.887,493327.554,70.043,0.099
27/01/2026 12:23:45 PM (UTC+1030),6277895.173,493326.641,70.014,0.099
27/01/2026 12:23:46 PM (UTC+1030),6277895.373,493325.779,69.966,0.099
27/01/2026 12:23:47 PM (UTC+1030),6277895.384,493324.866,69.917,0.099
27/01/2026 12:23:48 PM (UTC+1030),6277895.45,493323.966,69.885,0.101
27/01/2026 12:23:49 PM (UTC+1030),6277895.674,493323.143,69.81,0.101
27/01/2026 12:23:50 PM (UTC+1030),6277895.856,493322.234,69.781,0.101
27/01/2026 12:23:51 PM (UTC+1030),6277895.979,493321.334,69.718,0.103
27/01/2026 12:23:52 PM (UTC+1030),6277896.014,493320.413,69.678,0.103
27/01/2026 12:23:53 PM (UTC+1030),6277895.981,493319.5,69.642,0.103
27/01/2026 12:23:54 PM (UTC+1030),6277896.029,493318.606,69.567,0.104
27/01/2026 12:23:55 PM (UTC+1030),6277896.098,493317.722,69.541,0.104
27/01/2026 12:23:56 PM (UTC+1030),6277896.117,493316.752,69.477,0.104
27/01/2026 12:23:57 PM (UTC+1030),6277896.147,493315.74,69.466,0.104
27/01/2026 12:23:58 PM (UTC+1030),6277896.17,493314.829,69.428,0.105
27/01/2026 12:23:59 PM (UTC+1030),6277896.202,493313.894,69.368,0.103
27/01/2026 12:24:00 PM (UTC+1030),6277896.243,493312.917,69.364,0.103
27/01/2026 12:24:01 PM (UTC+1030),6277896.285,493311.931,69.313,0.104
27/01/2026 12:24:02 PM (UTC+1030),6277896.242,493310.964,69.242,0.102
27/01/2026 12:24:03 PM (UTC+1030),6277896.159,493309.99,69.23,0.102
27/01/2026 12:24:04 PM (UTC+1030),6277896.09,493308.988,69.206,0.103
27/01/2026 12:24:05 PM (UTC+1030),6277896.035,493307.981,69.149,0.103
27/01/2026 12:24:06 PM (UTC+1030),6277896.004,493307.053,69.054,0.103
27/01/2026 12:24:07 PM (UTC+1030),6277895.932,493306.08,69.056,0.103
27/01/2026 12:24:08 PM (UTC+1030),6277895.779,493305.061,68.998,0.103
27/01/2026 12:24:09 PM (UTC+1030),6277895.54,493304.098,68.957,0.101
27/01/2026 12:24:10 PM (UTC+1030),6277895.414,493303.091,68.942,0.101
27/01/2026 12:24:11 PM (UTC+1030),6277895.375,493302.152,68.866,0.101
27/01/2026 12:24:12 PM (UTC+1030),6277895.257,493301.147,68.867,0.101
27/01/2026 12:24:13 PM (UTC+1030),6277894.976,493300.245,68.795,0.101
27/01/2026 12:24:14 PM (UTC+1030),6277894.806,493299.278,68.785,0.101
27/01/2026 12:24:15 PM (UTC+1030),6277894.655,493298.315,68.713,0.101
27/01/2026 12:24:16 PM (UTC+1030),6277894.446,493297.346,68.716,0.103
27/01/2026 12:24:17 PM (UTC+1030),6277894.169,493296.386,68.643,0.104
27/01/2026 12:24:18 PM (UTC+1030),6277893.823,493295.478,68.647,0.104
27/01/2026 12:24:19 PM (UTC+1030),6277893.546,493294.53,68.592,0.104
27/01/2026 12:24:20 PM (UTC+1030),6277893.296,493293.63,68.574,0.104
27/01/2026 12:24:21 PM (UTC+1030),6277893.03,493292.751,68.528,0.105
27/01/2026 12:24:22 PM (UTC+1030),6277892.854,493291.91,68.529,0.104
27/01/2026 12:24:23 PM (UTC+1030),6277892.772,493291.002,68.458,0.104
27/01/2026 12:24:24 PM (UTC+1030),6277892.562,493290.174,68.465,0.104
27/01/2026 12:24:25 PM (UTC+1030),6277892.102,493289.373,68.401,0.104
27/01/2026 12:24:26 PM (UTC+1030),6277891.643,493288.615,68.409,0.103
27/01/2026 12:24:27 PM (UTC+1030),6277891.36,493287.791,68.336,0.103
27/01/2026 12:24:28 PM (UTC+1030),6277891.142,493286.923,68.325,0.103
27/01/2026 12:24:29 PM (UTC+1030),6277890.837,493286.067,68.257,0.103
27/01/2026 12:24:30 PM (UTC+1030),6277890.517,493285.317,68.261,0.101
27/01/2026 12:24:31 PM (UTC+1030),6277890.266,493284.481,68.184,0.103
27/01/2026 12:24:32 PM (UTC+1030),6277890.089,493283.601,68.187,0.103
27/01/2026 12:24:33 PM (UTC+1030),6277889.754,493282.804,68.116,0.104
27/01/2026 12:24:34 PM (UTC+1030),6277889.333,493282.002,68.119,0.103
27/01/2026 12:24:35 PM (UTC+1030),6277889.068,493281.155,68.036,0.103
27/01/2026 12:24:36 PM (UTC+1030),6277888.698,493280.31,68.027,0.103
27/01/2026 12:24:37 PM (UTC+1030),6277888.396,493279.425,67.961,0.103
27/01/2026 12:24:38 PM (UTC+1030),6277888.12,493278.561,67.952,0.103
27/01/2026 12:24:39 PM (UTC+1030),6277887.889,493277.64,67.864,0.101
27/01/2026 12:24:40 PM (UTC+1030),6277887.579,493276.764,67.874,0.101
27/01/2026 12:24:41 PM (UTC+1030),6277887.291,493275.916,67.787,0.103
27/01/2026 12:24:42 PM (UTC+1030),6277887.152,493274.947,67.785,0.103
27/01/2026 12:24:43 PM (UTC+1030),6277886.91,493273.997,67.734,0.103
27/01/2026 12:24:44 PM (UTC+1030),6277886.651,493273.094,67.645,0.103
27/01/2026 12:24:45 PM (UTC+1030),6277886.509,493272.18,67.637,0.103
27/01/2026 12:24:46 PM (UTC+1030),6277886.31,493271.289,67.581,0.101
27/01/2026 12:24:47 PM (UTC+1030),6277886.039,493270.374,67.584,0.101
27/01/2026 12:24:48 PM (UTC+1030),6277885.88,493269.451,67.512,0.101
27/01/2026 12:24:49 PM (UTC+1030),6277885.793,493268.616,67.512,0.101
27/01/2026 12:24:50 PM (UTC+1030),6277885.555,493267.779,67.457,0.101
27/01/2026 12:24:51 PM (UTC+1030),6277885.375,493266.88,67.427,0.103
27/01/2026 12:24:52 PM (UTC+1030),6277885.143,493265.955,67.413,0.103
27/01/2026 12:24:53 PM (UTC+1030),6277884.944,493265.048,67.341,0.103
27/01/2026 12:24:54 PM (UTC+1030),6277884.73,493264.139,67.353,0.101
27/01/2026 12:24:55 PM (UTC+1030),6277884.506,493263.279,67.285,0.101
27/01/2026 12:24:56 PM (UTC+1030),6277884.332,493262.345,67.307,0.101
27/01/2026 12:24:57 PM (UTC+1030),6277884.201,493261.405,67.238,0.103
27/01/2026 12:24:58 PM (UTC+1030),6277884.052,493260.515,67.231,0.101
27/01/2026 12:24:59 PM (UTC+1030),6277883.753,493259.691,67.196,0.101
27/01/2026 12:25:00 PM (UTC+1030),6277883.482,493258.812,67.176,0.099
27/01/2026 12:25:01 PM (UTC+1030),6277883.427,493257.927,67.119,0.101
27/01/2026 12:25:02 PM (UTC+1030),6277883.293,493257.089,67.122,0.101
27/01/2026 12:25:03 PM (UTC+1030),6277883.003,493256.264,67.092,0.103
27/01/2026 12:25:04 PM (UTC+1030),6277882.802,493255.443,67.07,0.103
27/01/2026 12:25:05 PM (UTC+1030),6277882.678,493254.629,67.052,0.103
27/01/2026 12:25:06 PM (UTC+1030),6277882.548,493253.81,67.046,0.103
27/01/2026 12:25:07 PM (UTC+1030),6277882.351,493252.995,67.04,0.103
27/01/2026 12:25:08 PM (UTC+1030),6277882.212,493252.172,66.99,0.103
27/01/2026 12:25:09 PM (UTC+1030),6277882.168,493251.354,66.997,0.104
27/01/2026 12:25:10 PM (UTC+1030),6277882.049,493250.55,66.986,0.103
27/01/2026 12:25:11 PM (UTC+1030),6277881.825,493249.731,66.938,0.104
27/01/2026 12:25:12 PM (UTC+1030),6277881.618,493248.942,66.953,0.103
27/01/2026 12:25:13 PM (UTC+1030),6277881.508,493248.117,66.891,0.104
27/01/2026 12:25:14 PM (UTC+1030),6277881.382,493247.317,66.883,0.104
27/01/2026 12:25:15 PM (UTC+1030),6277881.208,493246.536,66.866,0.103
27/01/2026 12:25:16 PM (UTC+1030),6277881.088,493245.681,66.834,0.103
27/01/2026 12:25:17 PM (UTC+1030),6277880.972,493244.84,66.773,0.103
27/01/2026 12:25:18 PM (UTC+1030),6277880.827,493244.018,66.758,0.104
27/01/2026 12:25:19 PM (UTC+1030),6277880.553,493243.195,66.716,0.1
27/01/2026 12:25:20 PM (UTC+1030),6277880.388,493242.334,66.677,0.102
27/01/2026 12:25:21 PM (UTC+1030),6277880.265,493241.469,66.625,0.103
27/01/2026 12:25:22 PM (UTC+1030),6277880.012,493240.637,66.551,0.101
27/01/2026 12:25:23 PM (UTC+1030),6277879.778,493239.865,66.544,0.101
27/01/2026 12:25:24 PM (UTC+1030),6277879.622,493239.023,66.461,0.101
27/01/2026 12:25:25 PM (UTC+1030),6277879.323,493238.228,66.44,0.101
27/01/2026 12:25:26 PM (UTC+1030),6277879.017,493237.301,66.363,0.101
27/01/2026 12:25:27 PM (UTC+1030),6277878.832,493236.373,66.337,0.101
27/01/2026 12:25:28 PM (UTC+1030),6277878.779,493235.503,66.266,0.101
27/01/2026 12:25:29 PM (UTC+1030),6277878.665,493234.582,66.248,0.101
27/01/2026 12:25:30 PM (UTC+1030),6277878.42,493233.64,66.195,0.099
27/01/2026 12:25:31 PM (UTC+1030),6277878.119,493232.747,66.209,0.101
27/01/2026 12:25:32 PM (UTC+1030),6277878.091,493231.887,66.132,0.101
27/01/2026 12:25:33 PM (UTC+1030),6277877.976,493230.943,66.16,0.103
27/01/2026 12:25:34 PM (UTC+1030),6277877.734,493230.036,66.095,0.101
27/01/2026 12:25:35 PM (UTC+1030),6277877.432,493229.162,66.086,0.101
